# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-challenge		n. 挑战	face a challenge	The team faces a difficult challenge.	Learning a language is a challenge.
b1-stuff		n. 东西；材料	my stuff	I left my stuff at home.	We can discuss stuff.
b1-access		n. 使用权；通道	have access to	Students have access to the library.	This road gives access to the beach.
b1-sexual		adj. 性的	sexual health	The course includes information about sexual health.	This is a sexual health issue.
b1-effective		adj. 有效的	an effective method	This is an effective method.	This is effective.
b1-western		adj. 西方的；西部的	be western	She studies western history.	The western part of the city is quiet.
b1-marriage		n. 婚姻	a happy marriage	They have a happy marriage.	The marriage is strong.
b1-reference		n. 参考；提及	for reference	Keep this report for reference.	The book contains a reference to the event.
b1-agent		n. 代理人；经纪人	a travel agent	The travel agent found us a hotel.	Her agent arranged the meeting.
b1-ahead		adv. 在前面；领先	move ahead	The road ahead is clear.	Our team is two points ahead.
b1-importance		n. 重要性	the importance of health	We understand the importance of health.	The report explains its importance.
b1-generation		n. 一代；产生	a new generation	A new generation is growing up.	This machine produces power for a whole generation.
b1-commercial		adj. 商业的；商业化的	commercial success	The film was a commercial success.	This area is used for commercial purposes.
b1-involved		adj. 参与的；复杂的	be involved in	She is involved in the project.	The process is too involved to explain quickly.
b1-reality		n. 现实	face reality	We must face reality.	The plan sounds good, but reality is different.
b1-yard		n. 院子；码	in the yard	The children are in the yard.	The yard is near here.
b1-collection		n. 收藏；收集物	a book collection	She has a large book collection.	The collection has many books.
b1-communication		n. 沟通；通信	good communication	Good communication prevents problems.	The storm cut communication with the town.
b1-supply		n. 供应；供给	the water supply	The water supply is low.	We have a good supply of food.
b1-examine		v. 检查；审查	examine the evidence	We can examine the problem.	We need to examine the evidence carefully.
b1-consumer		n. 消费者	consumer rights	The law protects consumer rights.	The consumer is here.
b1-define		v. 定义；说明	define the word	Can you define this word?	The report will define the main goal.
b1-influence		n. 影响	have an influence	Parents have a strong influence on children.	This influence can be strong.
b1-victim		n. 受害者	an accident victim	The victim received medical help.	Each victim told the police what happened.
b1-software		n. 软件	new software	This software is easy to use.	We use this software at work.
b1-vote		n. 选票；投票	the vote	Every vote is important.	The final vote takes place tomorrow.
b1-eventually		adv. 最终	eventually succeed	After several attempts, we eventually succeeded.	We eventually found the answer.
b1-occasion		n. 场合；时刻	a special occasion	We wore formal clothes for the occasion.	This restaurant is perfect for a special occasion.
b1-highly		adv. 非常；高度地	highly successful	The project was highly successful.	This is highly important.
b1-lack		n. 缺乏	a lack of time	The project failed because of a lack of money.	A lack of sleep affects your health.
b1-southern		adj. 南方的；南部的	be southern	They live in the southern part of the country.	This is southern.
b1-global		adj. 全球的	a global problem	Climate change is a global problem.	The company has a global market.
b1-slightly		adv. 稍微	slightly different	The two pictures are slightly different.	Please move the chair slightly.
b1-release		n. 发布；释放	a new release	This release is now available.	The release is now available.
