# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
a2-couple		n. 一对；几个	a couple	They are a couple.	I need a couple of days.
a2-hit		v. 击打；碰撞	hit the ball	Do not hit the ball too hard.	The car may hit it.
a2-certainly		adv. 肯定地；当然	certainly the same	It is certainly the same.	He will certainly come.
a2-data		n. 数据；资料	the data	The data is important.	We need more data.
a2-nature		n. 自然；大自然	love nature	I love nature.	Nature can be beautiful.
a2-officer		n. 军官；官员	an officer	He is an officer.	The officer is here.
a2-contain		v. 包含；容纳	contain it	This box can contain it.	A bottle can contain water.
a2-movement		n. 移动；运动	see movement	I can see movement.	The movement is slow.
a2-recent		adj. 最近的	recent news	This is recent news.	The recent change is important.
a2-reduce		v. 减少	reduce the number	We can reduce the number.	This can reduce the cost.
a2-technology		n. 技术；科技	modern technology	Technology can change our lives.	This technology is useful.
a2-catch		v. 接住；捕捉	catch the ball	I can catch the ball.	Catch it if you can.
a2-wish		n. 愿望；希望	one wish	I have one wish.	Her wish may come true.
a2-award		n. 奖项；奖品	win an award	She won an award.	This award is important.
a2-achieve		v. 实现；达到	achieve success	I can achieve success.	We can achieve more together.
a2-source		n. 来源；出处	a good source	This book is a good source.	The source is important.
a2-nearly		adv. 几乎；差不多	nearly the same	They are nearly the same.	The work is nearly finished.
a2-billion		num. 十亿	one billion	One billion is a big number.	One billion is a lot.
a2-king		n. 国王	the king	He is the king.	The king is here.
a2-energy		n. 精力；能量	more energy	I need more energy.	Food gives us energy.
a2-foreign		adj. 外国的	a foreign film	This is a foreign film.	She speaks a foreign language.
a2-choice		n. 选择	have a choice	You have a choice.	This is your choice.
a2-used		adj. 用过的；二手的	a used car	This is a used car.	I bought a used book.
a2-clearly		adv. 清楚地	see it clearly	I can see it clearly.	Please speak clearly.
a2-benefit		n. 好处；益处	one benefit	This plan has one benefit.	The benefit is clear.
a2-argue		v. 争论；辩论	argue about it	They argue about money.	I do not want to argue.
a2-pattern		n. 模式；图案	see a pattern	I can see a pattern.	This pattern is simple.
a2-goal		n. 目标	our goal	This is our goal.	We can reach the goal.
a2-focus		n. 重点；焦点	the main focus	The main focus is health.	Keep your focus on the work.
a2-series		n. 系列	a series of books	This is a series of books.	The series is popular.
a2-environment		n. 环境	a clean environment	We need a clean environment.	This environment is safe.
a2-enter		v. 进入；输入	enter the room	I can enter the room.	Please enter your name.
a2-race		n. 比赛；赛跑	a race	This is a race.	The race starts now.
a2-response		n. 回答；反应	my response	This is my response.	His response was clear.
a2-refer		v. 提到；指的是	refer to the report	I refer to the report.	This word can refer to a person.
a2-individual		n. 个人；个体	each individual	Every individual is different.	The individual has a choice.
a2-feature		n. 特征；功能	an important feature	This is an important feature.	The phone has a useful feature.
a2-exactly		adv. 确切地；正是	exactly the same	They are exactly the same.	That is exactly right.
a2-following		adj. 下列的；接着的	the following sentence	Read the following sentence.	Answer the following question.
a2-manage		v. 管理；处理	manage the team	I can manage the team.	She can manage this work.
a2-lady		n. 女士	a lady	She is a lady.	The lady is here.
a2-character		n. 性格；人物	strong character	He has a strong character.	This character is interesting.
a2-user		n. 用户	the user	The user is online.	This user needs help.
a2-lawyer		n. 律师	a lawyer	She is a lawyer.	The lawyer is here.
a2-professor		n. 教授	a professor	He is a professor.	The professor is here.
a2-publish		v. 出版；发表	publish a newspaper	They publish this newspaper.	We can publish the report.
a2-express		n. 特快列车	an express train	This is an express train.	The express arrives soon.
a2-suppose		v. 认为；假设	suppose you are right	I suppose you are right.	Suppose we go tomorrow.
a2-suddenly		adv. 突然	suddenly open	I suddenly open the door.	The weather suddenly changes.
a2-remove		v. 移除；拿走	remove this	Please remove this.	I can remove the cover.
a2-united		adj. 团结的；联合的	a united team	The team is united.	We are united by one goal.
a2-exist		v. 存在	problems exist	Many problems exist.	This does not exist.
a2-mention		v. 提到	mention it	I can mention it.	Please mention the date.
a2-huge		adj. 巨大的	a huge building	The building is huge.	This is a huge problem.
a2-successful		adj. 成功的	a successful project	The project is successful.	She is a successful writer.
a2-original		adj. 最初的；原创的	the original plan	This is the original plan.	I like the original plan.
a2-traditional		adj. 传统的	traditional music	This is traditional music.	They wear traditional clothes.
