# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-prince		n. 王子	a young prince	The story is about a young prince.	The prince lived in a large castle.
b1-historical		adj. 历史的	historical records	This book contains historical information.	The film is based on historical events.
b1-unable		adj. 不能的	unable to attend	I am unable to attend the meeting.	She was unable to answer.
b1-attract		v. 吸引	attract visitors	The city can attract people.	Bright colours can attract attention.
b1-participate		v. 参加	participate in the event	Everyone can participate in the event.	She chose not to participate.
b1-reject		v. 拒绝	reject the offer	She decided to reject the offer.	The court may reject the claim.
b1-tape		n. 胶带；录音带	a piece of tape	Use a piece of tape to fix it.	I can see the tape.
b1-hire		v. 雇用；租用	hire a car	We decided to hire a car.	The company plans to hire more staff.
b1-familiar		adj. 熟悉的	look familiar	Your face looks familiar.	I am familiar with this system.
b1-consist		v. 由……组成	consist of three parts	The group can consist of six people.	The team will consist of six people.
b1-unemployment		n. 失业	high unemployment	The town has high unemployment.	The new factory may reduce unemployment.
b1-eastern		adj. 东方的；东部的	be eastern	They live in the eastern part of the country.	The eastern side gets more sun.
b1-warn		v. 警告；提醒	warn people	I must warn you about this problem.	I must warn you not to go.
b1-surely		adv. 肯定；想必	surely know	You surely know the answer.	This surely cannot be true.
b1-intention		n. 意图；打算	have no intention	My intention is to help.	Her intention was to help.
b1-definition		n. 定义	a clear definition	The book gives a clear definition.	We can discuss the definition.
b1-suitable		adj. 合适的	suitable for children	This film is suitable for children.	We need to find a suitable place.
b1-immediate		adj. 立即的；直接的	immediate action	The problem requires immediate action.	There was no immediate danger.
b1-divide		v. 分开；除	divide the work	We can divide the work between us.	Divide ten by two.
b1-ought		modal. 应该	ought to help	We ought to help them.	You ought to be more careful.
b1-literature		n. 文学；文献	literature	She studies literature.	I read the literature on the subject.
b1-leading		adj. 主要的；领先的	a leading company	It is a leading technology company.	This is a leading company.
b1-appointment		n. 预约；任命	the appointment	I have an appointment tomorrow.	Her appointment as manager was announced.
b1-fuel		n. 燃料	save fuel	This car needs less fuel.	The plane needs more fuel.
b1-expand		v. 扩大；扩展	expand the business	The company plans to expand the business.	Heat causes metal to expand.
b1-mental		adj. 心理的；精神的	mental health	Exercise is good for mental health.	The job requires mental strength.
b1-educational		adj. 教育的；有教育意义的	an educational programme	The museum offers educational programmes.	The film is both fun and educational.
b1-explore		v. 探索；探究	explore the area	We can explore the area.	We can explore this place.
b1-enemy		n. 敌人	a common enemy	They joined together against a common enemy.	The enemy is near.
