# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
a2-fishing		n. 钓鱼	like fishing	I like fishing.	Fishing is popular here.
a2-creative		adj. 有创造力的	be creative	She is very creative.	Creative work takes time.
a2-personality		n. 个性；性格	strong personality	She has a strong personality.	Personality can change with age.
a2-badly		adv. 差；严重地	do it badly	I do it badly.	He sings badly.
a2-musical		n. 音乐剧	a musical	This is a musical.	The musical starts at eight.
a2-journalist		n. 新闻记者	a journalist	She is a journalist.	The journalist wrote an article.
a2-climate		n. 气候	the climate	The climate can change.	This climate is warm and dry.
a2-airline		n. 航空公司	an airline	This airline is good.	The airline flies to many cities.
a2-pollution		n. 污染	a serious problem	Pollution is a serious problem.	We can reduce pollution.
a2-chip		n. 芯片；碎片	a computer chip	This is a computer chip.	The chip is very small.
a2-quietly		adv. 安静地；轻声地	speak quietly	She speaks quietly.	Please close the door quietly.
a2-advertising		n. 广告；广告业	online advertising	Advertising can affect people.	Online advertising is common.
a2-boss		n. 老板	the boss	He is the boss.	The boss is here.
a2-abroad		adv. 在国外；到国外	go abroad	I want to go abroad.	She works abroad.
a2-pack		n. 一包；一盒	a pack of cards	This is a pack of cards.	I have a pack of cards.
a2-sauce		n. 酱汁	this sauce	This sauce is hot.	I like this sauce.
a2-electricity		n. 电；电力	use electricity	This machine needs electricity.	Electricity can be dangerous.
a2-parking		n. 停车；停车位	parking here	Parking is difficult here.	There is free parking outside.
a2-possession		n. 所有；个人财物	in his possession	The car is in his possession.	This book is a personal possession.
a2-digital		adj. 数字的；数码的	a digital camera	This is a digital camera.	Digital technology changes quickly.
a2-luck		n. 运气	some luck	I need some luck.	Good luck can help.
a2-electronic		adj. 电子的	an electronic device	This is an electronic device.	Electronic devices are common.
a2-surprising		adj. 令人惊讶的	a surprising result	The result is surprising.	This news is surprising.
a2-designer		n. 设计师	a designer	She is a designer.	The designer is here.
a2-furniture		n. 家具	old furniture	This furniture is old.	We need new furniture.
a2-brilliant		adj. 极好的；聪颖的	a brilliant idea	That idea is brilliant.	She gave a brilliant answer.
a2-wooden		adj. 木制的	a wooden table	This table is wooden.	I have a wooden chair.
a2-salary		n. 薪水	my salary	My salary is good.	The salary is high.
a2-behave		v. 表现；举止	behave well	Children should behave well.	Please behave yourself.
a2-permission		n. 许可；允许	need permission	I need permission.	You have permission to enter.
a2-extreme		adj. 极端的	extreme weather	The weather is extreme.	This is an extreme example.
a2-pop		n. 砰的一声	hear a pop	I heard a pop.	I heard another pop.
a2-classical		adj. 古典的	classical music	I like classical music.	This is a classical style.
a2-clothing		n. 衣物；服装	sell clothing	This shop sells clothing.	Warm clothing is important.
a2-communicate		v. 交流；传达	communicate online	We can communicate online.	It is important to communicate clearly.
a2-lost		adj. 丢失的；迷路的	be lost	The book is lost.	I feel lost in this city.
a2-profile		n. 个人资料；简介	my profile	This is my profile.	Your profile is online.
a2-disagree		v. 不同意	disagree with him	I disagree with him.	They disagree about the plan.
a2-assistant		n. 助手	an assistant	She is an assistant.	The assistant is here.
a2-architecture		n. 建筑学；建筑风格	study architecture	I study architecture.	The city is famous for its architecture.
a2-secondly		adv. 第二；其次	secondly	Secondly, check the answer.	Secondly, read the report.
a2-architect		n. 建筑师	an architect	She is an architect.	The architect has a plan.
a2-detective		n. 侦探	a detective	He is a detective.	The detective finds the answer.
a2-nowhere		adv. 无处；哪里都不	go nowhere	This road goes nowhere.	I have nowhere to go.
a2-reception		n. 接待处；接待	at reception	Go to reception.	Reception is near the door.
a2-musician		n. 音乐家	a musician	She is a musician.	The musician is ready.
a2-repair		n. 修理；维修	the repair	The repair takes time.	This repair is expensive.
a2-celebrity		n. 名人	a celebrity	She is a celebrity.	The celebrity is on television.
a2-traveller		n. 旅行者	a traveller	He is a traveller.	The traveller needs a room.
a2-clever		adj. 聪明的	be clever	She is clever.	That was a clever answer.
a2-ski		n. 滑雪板	one ski	I have one ski.	This ski is new.
a2-printer		n. 打印机	a printer	This printer is new.	The printer is not working.
a2-chef		n. 厨师	a chef	He is a chef.	The chef is in the kitchen.
a2-invitation		n. 邀请；请柬	an invitation	I got an invitation.	The invitation is for you.
a2-electrical		adj. 电的；电气的	an electrical problem	This is an electrical problem.	The electrical system is safe.
a2-rubbish		n. 垃圾；废物	the rubbish	Put the rubbish in the bin.	There is rubbish on the ground.
