# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b2-arms		n. 武器	give up arms	The group agreed to give up its arms.	The law controls the sale of arms.
b2-bacteria		n. 细菌	bacteria	Some bacteria can cause disease.	Good bacteria help the body.
b2-criterion		n. 标准；准则	an important criterion	Cost is an important criterion for us.	Safety should be the main criterion.
b2-logical		adj. 合乎逻辑的	a logical conclusion	That is a logical conclusion.	Her explanation sounds logical.
b2-long-term		adj. 长期的	a long-term plan	We need a long-term plan.	This choice may have long-term effects.
b2-means		n. 方法；手段	a means of transport	The train is our main means of transport.	Education can be a means of change.
b2-resist		v. 抵抗；忍住	resist pressure	She could not resist the pressure.	I tried to resist the need to laugh.
b2-council		n. 委员会；理事会	the local council	The council will discuss the plan.	The council will meet again tomorrow.
b2-minister		n. 部长	the foreign minister	The foreign minister spoke at the meeting.	The minister can answer questions.
b2-former		adj. 以前的；前任的	a former minister	The former minister wrote a book.	She met a former colleague.
b2-thus		adv. 因此；从而	thus change	The road was closed; thus, we waited.	It is late; thus, we must go.
b2-establish		v. 建立；确立	establish a company	They plan to establish a new company.	The report will establish the main facts.
b2-approach		n. 方法；方式	a different approach	We need a different approach to the problem.	This approach saves time.
b2-scheme		n. 计划；方案	a training scheme	The company introduced a training scheme.	The scheme offers financial support.
b2-seek		v. 寻求；寻找	seek advice	You should seek professional advice.	They continue to seek a solution.
b2-firm		n. 公司	a small firm	She works for a small firm.	The firm employs fifty people.
b2-lord		n. 领主；贵族	a local lord	The local lord owned much of the land.	The lord invited them to his home.
b2-contract		n. 合同；合约	sign a contract	The contract is clear.	The contract lasts for two years.
b2-concerned		adj. 担心的；关心的	concerned about safety	I am concerned about your safety.	Many people are concerned about the plan.
b2-administration		n. 管理；行政部门	the new administration	The administration has a new policy.	The administration is responsible for the service.
b2-agency		n. 机构；代理公司	a government agency	A government agency published the report.	The agency provides useful information.
b2-ensure		v. 确保	ensure safety	These rules ensure public safety.	Please check the work to ensure it is correct.
