# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b2-league		n. 联盟；联赛	join a league	The team hopes to join the national league.	The league includes twelve clubs.
b2-dozen		n. 一打；十二个	a dozen eggs	I bought a dozen eggs.	A dozen people attended the meeting.
b2-contribution		n. 贡献；捐款	make a contribution	Her work was an important contribution.	Everyone can make a contribution to the project.
b2-crisis		n. 危机	a financial crisis	The country is in crisis.	The crisis affected many families.
b2-annual		adj. 每年的；年度的	an annual report	The company published its annual report.	We hold an annual meeting in June.
b2-associate		n. 同事；伙伴	a business associate	I discussed the plan with a business associate.	Her associate joined the meeting.
b2-vision		n. 视野；远见	a clear vision	She has a clear vision for the future.	The illness affected his vision.
b2-presence		n. 在场；存在	the presence of water	The test confirmed the presence of water.	Her presence was welcome.
b2-protection		n. 保护	environmental protection	The law provides protection for workers.	Environmental protection requires public support.
b2-master		n. 大师；能手	the master	He is a master of the game.	The master taught us a useful method.
b2-relatively		adv. 相对地	relatively easy	The test was relatively easy.	This area is relatively safe.
b2-handle		n. 把手；柄	the door handle	The door handle is broken.	She held the cup by its handle.
b2-relevant		adj. 相关的；切题的	relevant information	Please provide only relevant information.	This example is relevant to our discussion.
b2-apparently		adv. 看来；显然	apparently closed	Apparently, the shop is closed.	He was apparently not aware of the change.
b2-consideration		n. 考虑；因素	an important consideration	Cost is an important consideration.	Please take safety into consideration.
b2-assessment		n. 评估	a risk assessment	The assessment is complete.	The assessment identified two problems.
b2-emerge		v. 出现；显现	emerge from the data	A clear pattern began to emerge from the data.	New problems may emerge during the project.
b2-regional		adj. 地区的；区域性的	a regional service	The company provides a regional service.	Regional differences affect the results.
b2-resident		n. 居民	a local resident	A resident told us about the problem.	Each resident received a letter.
b2-deny		v. 否认；拒绝给予	deny a claim	He continued to deny the claim.	The company may deny access without permission.
b2-potential		n. 潜力	great potential	The idea has great potential.	She has the potential to lead the team.
b2-willing		adj. 愿意的；乐意的	willing to help	I am willing to help.	They are willing to discuss the problem.
b2-justice		n. 正义；公正	seek justice	The family continued to seek justice.	A fair system should provide justice for all.
b2-observe		v. 观察；注意到	observe the change	We can observe the change over time.	Please observe how the system works.
b2-settle		v. 解决；定居	settle the problem	We can settle the problem.	They plan to settle in the city.
b2-estate		n. 地产；庄园	a large estate	The family owns a large estate.	The estate includes several buildings.
b2-leadership		n. 领导力	strong leadership	The project needs strong leadership.	Her leadership helped the team succeed.
b2-propose		v. 提议；提出	propose a solution	I propose a simple solution.	They plan to propose a new law.
b2-additional		adj. 额外的；附加的	additional information	We need additional information.	There will be an additional cost.
b2-contribute		v. 贡献；促成	contribute to success	Good planning can contribute to success.	Everyone can contribute an idea.
b2-objective		n. 目标；目的	a clear objective	The project has a clear objective.	Our main objective is to reduce cost.
b2-largely		adv. 大体上；主要地	largely the same	The two plans are largely the same.	The result was largely expected.
b2-faith		n. 信念；信任	have faith in	I have faith in the team.	Faith can give people hope.
b2-nevertheless		adv. 然而；尽管如此	nevertheless continue	The task was difficult; nevertheless, we finished it.	It was late; nevertheless, they continued working.
b2-confidence		n. 信心	build confidence	Practice can build confidence.	She spoke with great confidence.
b2-commitment		n. 承诺；投入	make a commitment	A commitment requires action.	This job requires a strong commitment.
b2-critic		n. 评论家；批评者	a film critic	The critic wrote about the film.	The critic has a different view.
b2-volume		n. 音量；体积；册	turn down the volume	Please turn down the volume.	This is the second volume of the series.
b2-insist		v. 坚持；坚决要求	insist on payment	They insist on full payment.	I insist that we check the facts first.
b2-entirely		adv. 完全地	entirely different	The two systems are entirely different.	The decision is entirely yours.
b2-demonstrate		v. 证明；演示	demonstrate a method	The teacher will demonstrate the method.	The results demonstrate that the plan works.
b2-domestic		adj. 国内的；家庭的	domestic travel	Domestic work can be hard.	The law applies to domestic workers.
b2-engage		v. 参与；从事	engage in discussion	Students should engage in discussion.	The company wants to engage young people.
b2-threaten		v. 威胁	threaten public safety	The fire may threaten public safety.	Do not threaten people.
b2-relief		n. 缓解；宽慰	a sense of relief	I felt a sense of relief after the test.	The medicine provided some relief.
b2-grant		n. 拨款；资助	a research grant	She received a research grant.	The grant will support the project.
b2-actual		adj. 实际的；真实的	the actual cost	The actual result was different.	We need the actual figures.
b2-regulation		n. 规定；法规	a safety regulation	The new safety regulation starts next month.	Every company must follow the regulation.
b2-broad		adj. 广泛的；宽阔的	a broad range	The course covers a broad range of topics.	The river is broad at this point.
b2-wage		n. 工资	a fair wage	Every worker needs a fair wage.	This wage is too low.
b2-acquire		v. 获得；习得	acquire new skills	Students acquire new skills through practice.	The company hopes to acquire the land.
b2-perspective		n. 视角；观点	a different perspective	Try to see the problem from a different perspective.	This perspective is useful.
b2-construction		n. 建造；建筑工程	under construction	The new bridge is under construction.	Construction began last year.
b2-internal		adj. 内部的；内在的	an internal report	The company prepared an internal report.	The system has an internal problem.
b2-launch		n. 发布；启动	a product launch	The company held a product launch.	The launch attracted much attention.
b2-session		n. 会议；一段时间	a training session	We have a session today.	We will hold another session tomorrow.
b2-housing		n. 住房	a housing problem	The city faces a serious housing problem.	The government plans to build more housing.
b2-discipline		n. 纪律；学科	discipline	This work requires discipline.	History is an academic discipline.
b2-increasingly		adv. 越来越；日益地	increasingly important	Online security is increasingly important.	The problem is increasingly serious.
b2-hell		n. 地狱；极其痛苦的处境	go through hell	The journey was hell.	Life there was hell.
b2-moral		n. 道德准则；寓意	the moral of the story	The moral of the story is simple.	Every story has a moral.
b2-retain		v. 保留；保持	retain control	The company wants to retain control.	The material can retain heat.
b2-victory		n. 胜利	win a victory	The team won an important victory.	The victory gave them confidence.
b2-loan		n. 贷款	a bank loan	They used a bank loan to buy the house.	The loan must be paid back in five years.
b2-finding		n. 研究发现；调查结果	a key finding	The report presents a key finding.	This finding supports the theory.
b2-grab		v. 抓住；迅速拿取	grab the bag	She tried to grab the bag.	Grab a seat before the meeting starts.
b2-limited		adj. 有限的	limited time	We have limited time.	Access to the building is limited.
b2-assess		v. 评估	assess the risk	We need to assess the risk.	The teacher will assess each student.
b2-pension		n. 养老金	receive a pension	He receives a small pension.	The new pension plan begins next year.
b2-conservative		n. 保守派人士	a political conservative	He is a political conservative.	The conservative has a different view.
b2-capacity		n. 容量；能力	full capacity	The factory is working at full capacity.	She has the capacity to lead the team.
b2-vary		v. 变化；不同	vary by region	Prices vary by region.	The results may vary over time.
b2-finance		n. 金融；财务	personal finance	The course teaches basic personal finance.	Finance is a major part of business.
b2-impose		v. 强加；实施	impose a fine	The court may impose a fine.	A court can impose a fine.
b2-rural		adj. 农村的；乡村的	a rural area	She grew up in a rural area.	Rural communities need better transport.
b2-lean		v. 倾斜；倚靠	lean against the wall	Do not lean against the wall.	The tree began to lean to one side.
b2-whereas		conj. 然而；而	whereas the other	I prefer tea, whereas she prefers coffee.	He prefers cities, whereas I prefer the country.
b2-initial		n. 首字母	write an initial	Please write your initial here.	Each initial stands for a name.
b2-examination		n. 考试；检查	a medical examination	The doctor carried out a medical examination.	The final examination is next week.
b2-declare		v. 宣布；申报	declare the result	They will declare the result tomorrow.	You must declare all income.
b2-aircraft		n. 飞机；航空器	a military aircraft	This aircraft is very large.	The aircraft carried two hundred people.
b2-reasonable		adj. 合理的	a reasonable price	The price seems reasonable.	We need a reasonable solution.
b2-offence		n. 违法行为；冒犯	a serious offence	This act is an offence.	The offence can lead to a fine.
b2-reduction		n. 减少；降低	a reduction in cost	The change led to a reduction in cost.	We need a large reduction in waste.
b2-detailed		adj. 详细的	a detailed report	She wrote a detailed report.	The plan includes detailed instructions.
b2-concentration		n. 专注；浓度	full concentration	This work requires full concentration.	Concentration is important for this work.
b2-overall		adj. 总体的；全面的	the overall result	The overall result was positive.	We need to improve overall quality.
b2-corporate		adj. 公司的；企业的	corporate policy	This is corporate policy.	She works in corporate finance.
b2-urban		adj. 城市的	an urban area	Most people in the region live in an urban area.	Urban transport needs improvement.
b2-criticism		n. 批评	face criticism	There was criticism of the decision.	The criticism was fair.
b2-transfer		n. 转移；调动	a bank transfer	I paid by bank transfer.	The transfer took one day.
b2-surround		v. 包围；环绕	surround the building	Trees surround the building.	Police may surround the area.
b2-soul		n. 灵魂；心灵	the human soul	The book explores the human soul.	Music can touch the soul.
b2-panel		n. 专家小组；面板	a panel of experts	A panel of experts examined the evidence.	The control panel is easy to use.
b2-select		adj. 精选的；优等的	a select group	Only a select group was invited.	The shop sells select local products.
b2-emotional		adj. 情绪激动的；感情上的	an emotional response	The meeting was emotional.	She found the meeting very emotional.
b2-fee		n. 费用；手续费	pay a fee	You must pay a small fee.	This fee is too high.
