# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
a2-ability		n. 能力	have the ability	She has the ability to do it.	Ability grows with practice.
a2-based		adj. 以……为基础的	be based on	The film is based on a book.	The plan is based on a book.
a2-bin		n. 垃圾桶	in the bin	Put it in the bin.	The bin is full.
a2-media		n. 媒体	the media	The media can report it.	The media can change people.
a2-penny		n. 便士	a penny	This is a penny.	One penny is not much.
a2-specific		adj. 明确的；具体的	a specific answer	I need a specific answer.	This question is very specific.
a2-stair		n. 楼梯的一级；台阶	this stair	This stair is high.	This stair is not safe.
a2-provide		v. 提供	provide food	We can provide food.	They provide a good service.
a2-hold		v. 拿着；握住	hold the book	I can hold the book.	Hold this for me.
a2-although		conj. 虽然；尽管	although it is late	Although it is late, I can go.	I like it, although it is expensive.
a2-social		adj. 社会的；社交的	a social event	This is a social event.	Social change takes time.
a2-national		adj. 国家的；全国性的	a national plan	This is a national plan.	National news is important.
a2-perhaps		adv. 也许；可能	perhaps the same	Perhaps it is the same.	Perhaps you are right.
a2-allow		v. 允许	allow me to go	They allow me to go.	The rules allow it.
a2-yet		adv. 还；尚未	not here yet	I am not there yet.	The work is not finished yet.
a2-appear		v. 出现	appear here	A message can appear here.	A problem can appear here.
a2-continue		v. 继续	continue the work	We can continue the work.	The meeting will continue.
a2-president		n. 总统；主席	the president	He is the president.	The president is here.
a2-consider		v. 考虑	consider the plan	I can consider the plan.	Please consider this idea.
a2-kid		n. 小孩；年轻人	a kid	The kid is here.	That kid is very young.
a2-expect		v. 预期；期待	expect good news	I expect good news.	We expect him today.
a2-suggest		v. 建议；提议	suggest a break	I suggest a short break.	They suggest this plan.
a2-figure		n. 数字；数值	this figure	This figure is too high.	The report gives a figure.
a2-available		adj. 可用的；可获得的	an available room	This room is available.	The book is available online.
a2-actually		adv. 实际上；其实	actually like it	I actually like it.	He is actually right.
a2-research		n. 研究	important research	This research is important.	Research takes time.
a2-guy		n. 男人；家伙	a nice guy	He is a nice guy.	That guy is my friend.
a2-matter		n. 事情；问题	an important matter	This matter is important.	We need to discuss the matter.
a2-receive		v. 收到；接收	receive a message	I can receive the message.	We receive many messages.
a2-less		det. 较少的	less time	I need less time.	This job needs less work.
a2-patient		n. 病人	a patient	She is a patient.	The patient needs help.
a2-major		adj. 主要的；重大的	a major problem	This is a major problem.	The city faces a major change.
a2-including		prep. 包括	including him	Everyone is here, including him.	The price includes everything, including food.
a2-itself		pron. 它自己；它本身	clean itself	The animal can clean itself.	The animal can wash itself.
a2-human		adj. 人的；人类的	human life	Human life is important.	This is a human problem.
a2-develop		v. 发展；成长	develop an idea	This idea can develop.	Children develop with time.
a2-serve		v. 服务；端上	serve food	They serve food here.	I serve them food.
a2-likely		adj. 可能的	likely today	Rain is likely today.	It is likely to change.
a2-kill		v. 杀死；消灭	kill people	War can kill people.	War can kill many people.
a2-raise		n. 加薪	get a raise	I got a raise.	The raise is small.
a2-international		adj. 国际的	an international event	This is an international event.	The company is international.
a2-pass		n. 通行证；票	a pass	I have a pass.	You need a pass here.
a2-along		prep. 沿着	along the road	We walk along the road.	Trees grow along the river.
a2-role		n. 角色；作用	an important role	She has an important role.	This role is difficult.
a2-ground		n. 地面；土地	on the ground	The book is on the ground.	The ground is wet.
a2-evidence		n. 证据；根据	more evidence	We need more evidence.	The evidence is clear.
a2-rather		adv. 相当；颇	rather big	It is rather big.	The room is rather small.
a2-leader		n. 领导者	the leader	She is the leader.	The leader is here.
a2-finally		adv. 最后；终于	finally arrive	We finally arrive.	He finally finds it.
a2-according		prep. 根据；按照	according to the report	According to the report, it is true.	According to him, we can go.
a2-relationship		n. 关系	a good relationship	They have a good relationship.	This relationship is important.
a2-god		n. 神；上帝	believe in a god	People believe in a god.	This story is about a god.
a2-season		n. 季节	a cold season	Winter is a cold season.	This season is very busy.
a2-director		n. 主管；导演	the director	She is the director.	The director is here.
a2-training		n. 训练；培训	the training	The training starts today.	This training is useful.
a2-pick		v. 选择；挑选	pick one	You can pick one.	Pick the best answer.
a2-apply		v. 申请；应用	apply for the job	I can apply for the job.	You can apply online.
