# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-freeze		v. 冻结；结冰	freeze the food	You can freeze the food for later.	Water will freeze at zero degrees.
b1-sensible		adj. 明智的；合理的	a sensible choice	Taking the train is a sensible choice.	She gave me sensible advice.
b1-bake		v. 烘烤	bake a cake	We will bake a cake this afternoon.	The bread takes an hour to bake.
b1-ban		n. 禁令	a smoking ban	The city introduced a smoking ban.	The ban will remain in place.
b1-announcement		n. 公告；宣布	make an announcement	The school has an important announcement.	We waited for the final announcement.
b1-unemployed		adj. 失业的	be unemployed	He has been unemployed for six months.	The programme helps unemployed people.
b1-episode		n. 一集；一段经历	the final episode	This is the final episode.	The episode was interesting.
b1-highlight		n. 最精彩的部分；重点	the highlight of the trip	The concert was the highlight of our trip.	The highlight was the music.
b1-pleasant		adj. 愉快的；宜人的	a pleasant surprise	The visit was a pleasant surprise.	We had a pleasant evening together.
b1-pretend		v. 假装	pretend to sleep	I can pretend to sleep.	Do not pretend that nothing happened.
b1-grateful		adj. 感激的	be grateful for	I am grateful for your help.	She was grateful that everyone was safe.
b1-aged		adj. 年龄为……的；年老的	aged ten	The programme is for children aged ten to twelve.	The home cares for aged people.
b1-excitement		n. 兴奋；激动	full of excitement	The children were full of excitement.	There was great excitement before the game.
b1-departure		n. 出发；离开	departure time	Please check the departure time.	His sudden departure surprised us.
b1-continuous		adj. 连续的；持续的	continuous rain	The rain was continuous for three days.	The noise was continuous.
b1-horror		n. 恐惧；恐怖	to my horror	To my horror, the door was open.	The film is full of horror.
b1-coin		n. 硬币	a gold coin	He found an old coin.	Put a coin in the machine.
b1-plot		n. 情节；小块土地	the plot of the film	The plot of the film is easy to follow.	They grow vegetables on a small plot.
b1-celebration		n. 庆祝活动	a birthday celebration	We had a small birthday celebration.	The celebration continued all night.
b1-alarm		n. 警报；闹钟	set the alarm	I set the alarm for six.	The alarm is loud.
b1-consume		v. 消耗；消费	consume energy	This machine can consume too much energy.	People consume more water in summer.
b1-explosion		n. 爆炸	a loud explosion	We heard a loud explosion.	The explosion was serious.
b1-injure		v. 使受伤	injure your back	You may injure your back if you lift it alone.	This can injure your hand.
b1-educate		v. 教育	educate children	Schools educate children for the future.	The campaign aims to educate the public.
b1-painful		adj. 疼痛的；痛苦的	a painful injury	He suffered a painful injury.	It was a painful decision to make.
b1-friendship		n. 友谊	a close friendship	They developed a close friendship.	Friendship is important.
b1-reservation		n. 预订；保留意见	make a reservation	I have a reservation for two.	She accepted the plan with some reservation.
b1-mall		n. 购物中心	at the mall	We met at the mall.	The new mall has many restaurants.
b1-hurry		n. 匆忙	in a hurry	I left home in a hurry.	There is no hurry; take your time.
b1-tent		n. 帐篷	put up a tent	We put up a tent near the river.	The tent was large enough for four people.
b1-narrative		n. 叙述；故事	a clear narrative	The book has a clear narrative.	The narrative is clear.
b1-photographer		n. 摄影师	a professional photographer	A professional photographer took the picture.	The photographer waited for better light.
b1-helicopter		n. 直升机	the helicopter	A helicopter arrived quickly.	I can see the helicopter.
b1-explode		v. 爆炸；激增	explode suddenly	The bomb could explode at any time.	Prices may explode when supply is low.
b1-garage		n. 车库；修车厂	in the garage	The car is in the garage.	We took the car to a garage for repair.
b1-assignment		n. 作业；任务	finish an assignment	I finished my assignment last night.	The reporter received a new assignment.
b1-romantic		adj. 浪漫的	a romantic dinner	They had a romantic dinner.	The story has a romantic ending.
b1-discount		n. 折扣	the discount	Students get a discount.	The shop offers a discount this week.
b1-generous		adj. 慷慨的；大方的	a generous offer	That was a very generous offer.	She is generous with her time.
b1-ambition		n. 抱负；雄心	the ambition	Her ambition is to be a doctor.	His ambition is to lead the company.
b1-battery		n. 电池	change the battery	The phone needs a new battery.	This battery lasts for two days.
b1-fighting		n. 打斗；战斗	stop the fighting	The police arrived to stop the fighting.	Fighting continued through the night.
b1-competitor		n. 竞争者	a strong competitor	Our main competitor has low prices.	Every competitor must follow the rules.
b1-ugly		adj. 难看的；丑陋的	an ugly building	That is an ugly building.	This is ugly.
b1-ghost		n. 鬼；幽灵	believe in ghosts	The story has a ghost.	The story is about a friendly ghost.
b1-reliable		adj. 可靠的	a reliable source	This is a reliable source of information.	We need a reliable car.
b1-admire		v. 钦佩；欣赏	admire someone	I admire her work.	We can admire this.
b1-killing		n. 杀害；谋杀	the killing	The police investigated the killing.	The killing was in the news.
b1-script		n. 剧本；文字	write a script	She wrote the script for the film.	The actor learned the script quickly.
b1-headline		n. 标题；头条	read the headline	I read the headline but not the article.	I can see the headline.
b1-rope		n. 绳子	a long rope	We used a long rope to pull the boat.	The rope was strong enough.
b1-shine		n. 光泽；亮光	give it a shine	The shoes have a bright shine.	A quick clean will give them a shine.
b1-clue		n. 线索	find a clue	The police found an important clue.	This clue may solve the mystery.
b1-slice		n. 薄片	a slice of bread	I ate a slice of bread.	I can see the slice.
b1-fitness		n. 健康；健身	physical fitness	Regular exercise improves physical fitness.	The test checks your fitness for the job.
b1-container		n. 容器	a plastic container	Put the food in a plastic container.	The container is completely full.
b1-experienced		adj. 有经验的	an experienced teacher	She is an experienced teacher.	We need someone experienced for this job.
b1-disappointed		adj. 失望的	feel disappointed	I was disappointed with the result.	She felt disappointed that he did not come.
b1-mess		n. 混乱；脏乱	make a mess	The room is a mess.	My desk is a complete mess.
b1-upset		adj. 难过的；心烦的	feel upset	She was upset about the news.	Do not get upset over a small mistake.
b1-frightened		adj. 害怕的	feel frightened	The child was frightened by the noise.	She is frightened.
b1-expected		adj. 预期的	the expected result	The expected result did not occur.	The train arrived at the expected time.
b1-magic		n. 魔法；魔术	perform magic	The show includes magic.	The story is full of magic.
b1-hunt		n. 搜寻；狩猎	the hunt	They went on a hunt.	The hunt for the missing person continued.
b1-sculpture		n. 雕塑	a stone sculpture	A large stone sculpture stands outside.	The museum has modern sculpture.
b1-flour		n. 面粉	a bag of flour	We need a bag of flour.	Mix the flour with water.
b1-convenient		adj. 方便的	a convenient time	Is this a convenient time to call?	The station is in a convenient location.
b1-heating		n. 供暖；加热	turn on the heating	Please turn on the heating.	The heating is not working properly.
b1-confuse		v. 使困惑；混淆	confuse the two	Do not confuse the two words.	Too much information can confuse people.
b1-disadvantage		n. 缺点；不利条件	a major disadvantage	The high cost is a major disadvantage.	Every method has a disadvantage.
b1-mud		n. 泥	the mud	There is mud on the road.	His shoes were full of mud.
b1-flood		n. 洪水	a serious flood	The town suffered a serious flood.	The flood was serious.
b1-prediction		n. 预测	make a prediction	This prediction may be right.	Her prediction proved correct.
b1-outdoor		adj. 户外的	an outdoor activity	This is an outdoor activity.	The hotel has an outdoor pool.
b1-confused		adj. 困惑的	feel confused	I felt confused by the instructions.	She looked confused when I asked.
b1-coloured		adj. 彩色的；有色的	coloured paper	The children used coloured paper.	This is coloured paper.
b1-unfair		adj. 不公平的	an unfair decision	That was an unfair decision.	The rules seem unfair to some people.
b1-unnecessary		adj. 不必要的	unnecessary work	This extra step is unnecessary.	We should avoid unnecessary costs.
b1-uncomfortable		adj. 不舒服的；不自在的	feel uncomfortable	This chair is uncomfortable.	I felt uncomfortable during the conversation.
b1-peaceful		adj. 平静的；和平的	a peaceful place	The village is a peaceful place.	Everyone hopes for a peaceful future.
b1-retired		adj. 退休的	a retired teacher	He is a retired teacher.	The retired worker still helps the community.
b1-drunk		adj. 喝醉的	be drunk	He was too drunk to drive.	He is drunk.
b1-apologize		v. 道歉	apologize for being late	I apologize for being late.	You should apologize to her.
b1-horrible		adj. 糟糕的；可怕的	a horrible experience	It was a horrible experience.	This is horrible.
b1-mild		adj. 温和的；轻微的	mild weather	The weather is mild today.	He has only mild pain.
