# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b2-barrier		n. 障碍；屏障	a language barrier	A language barrier can cause problems.	The wall forms a barrier against the wind.
b2-gang		n. 一伙人；帮派	a criminal gang	A gang can be dangerous.	The police know about the gang.
b2-classic		n. 经典作品	a modern classic	The novel has become a modern classic.	This book is a classic.
b2-draft		n. 草稿；气流	a first draft	I finished the first draft of the report.	The draft needs more work.
b2-extraordinary		adj. 非凡的；特别的	an extraordinary result	The team achieved an extraordinary result.	Her skill is extraordinary.
b2-fortune		n. 财富；运气	make a fortune	He has a fortune.	Good fortune helped us.
b2-heaven		n. 天堂；天空	believe in heaven	Some people believe in heaven.	Heaven is important in the story.
b2-pregnant		adj. 怀孕的	a pregnant woman	The doctor examined the pregnant woman.	She is pregnant.
b2-anxious		adj. 焦虑的；渴望的	anxious about the result	I am anxious about the result.	She is anxious to begin the new job.
b2-satellite		n. 卫星	satellite	The satellite is in space.	The satellite sends data to Earth.
b2-sweep		n. 清扫；挥动	a quick sweep	She gave the floor a quick sweep.	One sweep of the light revealed the door.
b2-stable		n. 马厩	a horse stable	The horse is in the stable.	They built a new stable near the field.
b2-satisfied		adj. 满意的	satisfied with the result	We are satisfied with the result.	The customer was not satisfied with the service.
b2-pitch		n. 音高；球场	a high pitch	The sound has a very high pitch.	The pitch is too high.
b2-bunch		n. 束；串；群	a bunch of flowers	She gave me a bunch of flowers.	A bunch of keys lay on the table.
b2-distribute		v. 分发；分配	distribute the food	Volunteers will distribute the food.	We can distribute the food.
b2-measurement		n. 测量结果；尺寸	the measurement	This measurement is correct.	We need another measurement.
b2-enthusiasm		n. 热情	show enthusiasm	The students showed great enthusiasm.	Her enthusiasm encouraged the team.
b2-resort		n. 度假胜地	the resort	This resort is near the city.	The resort attracts many visitors.
b2-bet		n. 赌注；打赌	make a bet	This bet is safe.	It is a safe bet that prices will rise.
b2-encounter		n. 相遇；遭遇	a chance encounter	The encounter was short.	I remember the encounter.
b2-minimum		n. 最低限度；最小值	the minimum age	The minimum age is eighteen.	We need a minimum of five people.
b2-blind		n. 百叶窗；遮挡物	close the blind	Please close the blind.	The blind keeps the light out.
b2-slave		n. 奴隶	a former slave	The book tells the story of a former slave.	A slave has no freedom.
b2-accurate		adj. 准确的	accurate information	We need accurate information.	The measurement was accurate.
b2-complicated		adj. 复杂的	a complicated problem	This is a complicated problem.	The instructions are too complicated.
b2-bullet		n. 子弹	a single bullet	The police found a single bullet.	The bullet hit the wall.
b2-proof		n. 证据；证明	proof of identity	You need proof of identity.	There is no proof that the claim is true.
b2-solar		adj. 太阳能的；太阳的	solar power	This is solar power.	This system stores solar energy.
b2-plain		n. 平原	a wide plain	The road crosses a wide plain.	Farmers work on the plain.
b2-tunnel		n. 隧道	a long tunnel	The train entered a long tunnel.	The tunnel is open.
b2-hunting		n. 狩猎	illegal hunting	The law bans illegal hunting.	Hunting is common in this area.
b2-satisfy		v. 使满意；符合要求	satisfy the requirements	The plan should satisfy all the requirements.	The result must satisfy the rules.
b2-raw		adj. 生的；未加工的	raw material	The meat is raw.	Do not eat raw meat.
b2-furthermore		adv. 此外；而且	furthermore useful	The plan is simple; furthermore, it is cheap.	The book is clear and furthermore very useful.
b2-bush		n. 灌木；灌木丛	a thick bush	The bird was hiding in a thick bush.	The bush is very thick.
b2-deliberately		adv. 故意地	deliberately ignore	She deliberately ignored the question.	He deliberately left the door open.
b2-adapt		v. 适应；改编	adapt to change	People must adapt to change.	We must adapt to change.
b2-joy		n. 喜悦；乐事	a source of joy	Her children are a source of joy.	The news filled us with joy.
b2-shooting		n. 射击；枪击事件	a shooting incident	Police are investigating a shooting incident.	Shooting is allowed only in this area.
b2-imagination		n. 想象力	use your imagination	Use your imagination to finish the story.	Imagination can help us solve problems.
b2-crash		n. 碰撞；坠毁	a car crash	Two people were hurt in the car crash.	The crash was serious.
b2-outline		n. 大纲；轮廓	a brief outline	The report gives a brief outline of the plan.	I could see the outline of the mountain.
b2-insight		n. 洞察；见解	valuable insight	The study provides valuable insight into the problem.	Her experience gave us new insight.
b2-weakness		n. 弱点；虚弱	a major weakness	Cost is a major weakness of the plan.	Everyone has a weakness.
