# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-naturally		adv. 自然地；当然	speak naturally	Try to speak naturally.	Naturally, everyone was worried.
b1-prayer		n. 祈祷；祷告	say a prayer	They said a prayer before the meal.	Her prayer was for peace.
b1-secondary		adj. 次要的；中等教育的	a secondary reason	Cost was only a secondary reason.	He teaches at a secondary school.
b1-childhood		n. 童年	during childhood	She lived abroad during her childhood.	This song reminds me of my childhood.
b1-currency		n. 货币	foreign currency	You can exchange foreign currency here.	The euro is used as currency in many countries.
b1-graduate		n. 毕业生	a university graduate	She is a recent university graduate.	The graduate is here.
b1-emotion		n. 情感；情绪	show emotion	He rarely shows emotion.	Music can express strong emotion.
b1-rarely		adv. 很少	rarely eat out	We rarely eat out.	Such mistakes rarely happen.
b1-bother		v. 打扰；使烦恼	bother someone	I am sorry to bother you.	The noise did not bother me.
b1-arrest		n. 逮捕	make an arrest	The arrest was in the news.	His arrest surprised everyone.
b1-analyse		v. 分析	analyse the data	We need to analyse the data carefully.	We can analyse this.
b1-heavily		adv. 大量地；沉重地	rain heavily	It can rain heavily here.	The company invested heavily in technology.
b1-silent		adj. 沉默的；安静的	remain silent	The room is silent.	He remained silent during the meeting.
b1-assist		v. 帮助；协助	assist the team	I can assist the doctor.	This tool can assist people with reading.
b1-port		n. 港口	a busy port	The ship arrived at a busy port.	The city grew around the port.
b1-layer		n. 层	a thin layer	This is a thin layer of ice.	Add another layer of paint.
b1-string		n. 细绳；一串	a piece of string	Tie the box with a piece of string.	We can discuss the string.
b1-poem		n. 诗	write a poem	She wrote a poem about the sea.	The poem is easy to understand.
b1-glad		adj. 高兴的	be glad to help	I am glad to help.	We were glad that everyone was safe.
b1-alcohol		n. 酒精；酒	avoid alcohol	This drink contains no alcohol.	Alcohol can be dangerous.
b1-bend		v. 弯曲；俯身	bend the wire	You can bend the wire by hand.	Do not bend your back like that.
b1-unlike		prep. 不像；与……不同	unlike the others	Unlike the others, she arrived early.	This result is unlike the previous one.
b1-recommendation		n. 推荐；建议	make a recommendation	This is my recommendation.	I chose the hotel on her recommendation.
b1-profession		n. 职业；行业	the medical profession	Teaching is a profession.	She works in the legal profession.
b1-album		n. 专辑；相册	a photo album	We looked through an old photo album.	The album has ten songs.
b1-cottage		n. 小屋	a country cottage	They live in a small cottage.	The cottage stands near the lake.
b1-export		n. 出口产品；出口	a major export	Coffee is a major export of the country.	This export is important.
b1-valuable		adj. 有价值的；贵重的	valuable information	The report contains valuable information.	Keep your valuable items safe.
b1-regularly		adv. 经常地；定期地	exercise regularly	I exercise regularly.	The system is checked regularly.
b1-countryside		n. 乡村；农村	live in the countryside	They live in the countryside.	The countryside is quiet.
b1-symptom		n. 症状	a common symptom	A cough is a common symptom.	Tell the doctor about every symptom.
b1-relative		n. 亲戚	a close relative	A close relative came to visit.	The relative is here.
b1-breathe		v. 呼吸	breathe slowly	Try to breathe slowly.	It was difficult to breathe in the smoke.
b1-keen		adj. 热衷的；敏锐的	keen to learn	She is keen to learn.	He has a keen eye for detail.
b1-arrival		n. 到达	upon arrival	Please call me upon arrival.	We waited for the arrival of the train.
b1-passion		n. 热情；激情	a passion for music	She has a passion for music.	Her passion is music.
b1-volunteer		n. 志愿者	a local volunteer	A local volunteer showed us the way.	Every volunteer received training.
b1-priest		n. 牧师；祭司	a village priest	The priest spoke about peace.	The priest is here.
b1-retire		v. 退休	retire next year	My father plans to retire next year.	Many people retire at sixty-five.
b1-cap		n. 帽子；盖子	a baseball cap	He wore a blue baseball cap.	Put the cap back on the bottle.
b1-competitive		adj. 竞争激烈的；好胜的	a competitive market	This is a highly competitive market.	She is competitive but fair.
b1-presentation		n. 演示；报告	give a presentation	She gave a presentation about the project.	The presentation is ready.
b1-whenever		conj. 每当；无论何时	whenever you need help	Call me whenever you need help.	Whenever it rains, the road becomes dangerous.
b1-pale		adj. 苍白的；浅色的	look pale	You look pale today.	She is pale.
b1-laboratory		n. 实验室	in the laboratory	The test was carried out in the laboratory.	Students must wear glasses in the laboratory.
b1-mood		n. 心情；情绪	in a good mood	She is in a good mood today.	Music can change your mood.
b1-mystery		n. 谜；神秘事件	solve a mystery	The police are trying to solve the mystery.	The mystery remains.
b1-poverty		n. 贫困	live in poverty	Many families still live in poverty.	Education can help reduce poverty.
b1-spending		n. 支出；花费	government spending	Government spending is too high.	We need to control our spending.
b1-custom		n. 习俗；惯例	a local custom	Taking off your shoes is a local custom.	The custom has continued for centuries.
b1-entertainment		n. 娱乐	live entertainment	The hotel offers live entertainment.	Television is a common form of entertainment.
b1-approximately		adv. 大约	approximately ten minutes	The journey takes approximately ten minutes.	Approximately half the group agreed.
b1-rent		n. 租金	pay the rent	The rent is due tomorrow.	We cannot afford the high rent.
b1-qualification		n. 资格；学历	a professional qualification	You need a professional qualification for this job.	This qualification is important.
b1-bury		v. 埋葬；掩埋	bury the box	They decided to bury the box in the garden.	Snow can bury the road quickly.
b1-pray		v. 祈祷	pray for peace	People gathered to pray for peace.	We can pray together.
b1-mixture		n. 混合物	a mixture of colours	This mixture has many colours.	Add the mixture to the pan.
b1-entrance		n. 入口；进入	the main entrance	Meet me at the main entrance.	The entrance is around the corner.
b1-viewer		n. 观众；观看者	television viewers	Each viewer can vote.	Each viewer can vote online.
b1-pan		n. 平底锅	the pan	Put the food in the pan.	The pan is too hot.
b1-historic		adj. 历史上重要的	a historic event	The agreement was a historic event.	This is a historic event.
b1-successfully		adv. 成功地	complete successfully	We can successfully finish the work.	She successfully solved the problem.
b1-journal		n. 日记；期刊	write in a journal	I write in my journal every evening.	The study appeared in a medical journal.
b1-weigh		v. 重；称重量	weigh the package	Please weigh the package.	We can weigh this.
b1-tube		n. 管；软管	a plastic tube	Water flows through this plastic tube.	The cream comes in a small tube.
b1-quit		v. 辞去；停止	quit the job	She decided to quit her job.	You should quit smoking.
b1-honest		adj. 诚实的	an honest answer	Please give me an honest answer.	He is honest about his mistakes.
b1-giant		n. 巨人；巨型公司	a friendly giant	The story is about a friendly giant.	The giant is here.
b1-written		adj. 书面的	written instructions	Please follow the written instructions.	This is a written report.
b1-advanced		adj. 高级的；先进的	advanced technology	This is advanced technology.	This course is too advanced for me.
b1-shell		n. 壳；贝壳	a sea shell	She found a beautiful shell on the beach.	The egg shell was broken.
b1-brand		n. 品牌	a famous brand	This is a famous clothing brand.	I do not care which brand you choose.
b1-mad		adj. 生气的；疯狂的	be mad at	She was mad at me for being late.	It would be mad to take that risk.
b1-confident		adj. 自信的；有把握的	feel confident	I feel confident about the exam.	She is confident that the plan will work.
b1-sink		n. 水槽	the kitchen sink	The dishes are in the kitchen sink.	Water was running from the sink.
b1-ingredient		n. 成分；原料	a main ingredient	This ingredient is important.	Check every ingredient on the label.
b1-poet		n. 诗人	a famous poet	She is a famous poet.	The poet is here.
b1-label		n. 标签	read the label	Always read the label before use.	The label shows the price.
b1-personally		adv. 亲自；就个人而言	personally prefer	I personally prefer the first plan.	I personally prefer this plan.
b1-ceiling		n. 天花板	a high ceiling	The room has a high ceiling.	A light hangs from the ceiling.
b1-fence		n. 栅栏；围栏	a wooden fence	The garden has a fence.	The ball went over the fence.
b1-portrait		n. 肖像	paint a portrait	This portrait is of her.	The portrait hangs in the hall.
b1-ceremony		n. 仪式；典礼	the ceremony	The ceremony starts at ten.	The ceremony starts today.
b1-impressive		adj. 令人印象深刻的	an impressive result	The team achieved an impressive result.	The building looks impressive at night.
