# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-ad		n. 广告	an ad	I saw an ad online.	The ad was for a new phone.
b1-goods		n. 货物	the goods	The goods arrived today.	These goods are ready to sell.
b1-grade		n. 成绩；等级	a good grade	She got a good grade.	This grade is good.
b1-latest		adj. 最新的	the latest news	This is the latest news.	I read the latest report.
b1-old-fashioned		adj. 过时的；老式的	an old-fashioned idea	That idea is old-fashioned.	This old-fashioned phone still works.
b1-path		n. 小路；路径	a narrow path	We followed the path home.	This path leads to the river.
b1-tyre		n. 轮胎	a flat tyre	The car has a flat tyre.	I can see the tyre.
b1-within		prep. 在……之内	within a week	We can finish it within a week.	The answer is within the report.
b1-set		n. 一套；一组	a set of keys	I bought a set of tools.	This set includes six books.
b1-issue		n. 问题；议题	a serious issue	We discussed the issue today.	This issue affects many people.
b1-policy		n. 政策；规定	a new policy	The company introduced a new policy.	This policy protects workers.
b1-court		n. 法院；球场	go to court	The case went to court.	The court will make a decision.
b1-whether		conj. 是否	whether to go	I do not know whether to go.	We asked whether the shop was open.
b1-require		v. 需要；要求	require more time	This job may require more time.	The rules require everyone to wait.
b1-remain		v. 仍然是；保持	remain this	I can remain here.	We can remain here.
b1-economic		adj. 经济的	economic growth	The country faces an economic problem.	Economic change affects everyone.
b1-upon		prep. 在……上；一……就	upon	The book is upon the table.	I can put the book upon the table.
b1-therefore		adv. 因此	therefore decide	The road was closed; therefore, we waited.	It was late, and therefore we left.
b1-staff		n. 全体员工	the hotel staff	The staff were very helpful.	Our staff meet every Monday.
b1-particularly		adv. 尤其；特别	particularly useful	This book is particularly useful.	I particularly like the ending.
b1-management		n. 管理；管理层	good management	Good management saves time.	The management can change the plan.
b1-effort		n. 努力	make an effort	I make an effort to help.	This effort can help.
b1-union		n. 工会；联盟	join a union	Many workers joined the union.	The union can help people.
b1-central		adj. 中心的；主要的	a central role	This idea is central to the plan.	The station is in the central part of town.
b1-official		n. 官员	a government official	A government official is here.	The official is here.
