# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b2-virtual		adj. 虚拟的	a virtual meeting	We held a virtual meeting.	The game creates a virtual world.
b2-decent		adj. 像样的；得体的	a decent meal	We found a decent place to eat.	He earns a decent wage.
b2-vitamin		n. 维生素	the vitamin	The food contains a vitamin.	This vitamin can help the body.
b2-praise		n. 赞扬；表扬	win praise	Her work won high praise.	The teacher gave him praise for his effort.
b2-associated		adj. 相关的；有关联的	associated with risk	The disease is associated with smoking.	These costs are associated with the project.
b2-steep		adj. 陡峭的；急剧的	a steep hill	We climbed a steep hill.	The road is steep.
b2-rescue		n. 营救；救援	a rescue operation	The rescue is difficult.	We need a rescue plan.
b2-neat		adj. 整洁的；利落的	a neat room	The room is clean and neat.	She wrote in neat letters.
b2-tropical		adj. 热带的	a tropical climate	The island has a tropical climate.	Tropical storms can be severe.
b2-exploration		n. 探索；勘探	space exploration	The country invests in space exploration.	Exploration takes time.
b2-feedback		n. 反馈	provide feedback	Please provide feedback on the course.	The team used the feedback to improve the design.
b2-edit		v. 编辑；修改	edit the report	I need to edit the report.	She can edit video on her computer.
b2-surrounding		adj. 周围的	the surrounding area	We know the surrounding area.	We explored the surrounding villages.
b2-popularity		n. 受欢迎程度	gain popularity	Its popularity is growing.	Its popularity grew quickly.
b2-venue		n. 活动场地	choose a venue	We need to choose a venue for the meeting.	The venue can hold five hundred people.
b2-impressed		adj. 印象深刻的	impressed by the result	I was impressed by the result.	The visitors were impressed with the service.
b2-upwards		adv. 向上	move upwards	The road leads upwards.	The stairs lead upwards.
b2-mysterious		adj. 神秘的	a mysterious sound	We heard a mysterious sound.	The reason remains mysterious.
b2-shallow		adj. 浅的	shallow water	The water is shallow.	The river is too shallow for large boats.
b2-lively		adj. 活泼的；热闹的	a lively discussion	The market is lively today.	The town centre is lively at night.
b2-opposed		adj. 反对的	strongly opposed to	Many residents are opposed to the plan.	The two ideas are directly opposed.
b2-depressed		adj. 沮丧的；抑郁的	feel depressed	He felt depressed after losing his job.	She feels depressed.
b2-shocked		adj. 震惊的	shocked by the news	I was shocked by the news.	They are shocked.
b2-enthusiastic		adj. 热情的；积极的	enthusiastic about the project	The team is enthusiastic about the project.	She received an enthusiastic welcome.
b2-genre		n. 类型；体裁	genre	This is a popular genre.	The genre is popular.
b2-decoration		n. 装饰品；装饰	a wall decoration	The painting is a wall decoration.	The room needs more decoration.
b2-cure		n. 治疗方法；治愈	a cure for the disease	We need a cure for the disease.	Rest may be the best cure.
b2-deliberate		adj. 深思熟虑的；故意的	a deliberate choice	It was a deliberate choice.	The damage appeared to be deliberate.
b2-rubber		n. 橡胶；橡皮	the rubber	This material is rubber.	Use a rubber to remove the mark.
b2-obey		v. 服从；遵守	obey the rules	Everyone must obey the rules.	The dog refused to obey its owner.
b2-unconscious		adj. 失去知觉的；未意识到的	fall unconscious	He is unconscious.	She was unconscious of the danger.
b2-multiply		v. 相乘；大量增加	multiply two numbers	You can multiply these two numbers.	The problems began to multiply.
b2-offend		v. 冒犯；得罪	offend someone	I do not want to offend anyone.	The remark may offend some people.
b2-ashamed		adj. 惭愧的；羞耻的	ashamed of the mistake	I am ashamed of the mistake.	He felt ashamed to ask for help.
b2-harmful		adj. 有害的	harmful to health	Smoking is harmful to health.	This chemical is harmful to fish.
b2-confusing		adj. 令人困惑的	a confusing explanation	The explanation was confusing.	The signs are confusing for visitors.
b2-matching		adj. 相配的	matching clothes	They wore matching clothes.	The set includes two matching chairs.
b2-curved		adj. 弯曲的	a curved line	Draw a curved line.	The road is narrow and curved.
b2-depressing		adj. 令人沮丧的	depressing news	The report contained depressing news.	The situation is depressing.
b2-downwards		adv. 向下	move downwards	The road leads downwards.	The stairs lead downwards.
b2-sincere		adj. 真诚的	a sincere concern	Her concern is sincere.	Her concern seemed sincere.
b2-intended		adj. 预定的；有意的	intended for children	The book is intended for children.	The result was not intended.
b2-impatient		adj. 不耐烦的	impatient with the delay	I am impatient with the delay.	He is impatient with the delay.
b2-pointed		adj. 尖的；尖锐的	a pointed end	The tool has a pointed end.	The end is pointed.
b2-humorous		adj. 幽默的	a humorous story	He told a humorous story.	The article is serious but also humorous.
b2-dishonest		adj. 不诚实的	dishonest behaviour	Dishonest behaviour destroys trust.	It was dishonest to hide the truth.
b2-folding		adj. 可折叠的	a folding chair	We bought a folding chair.	The room contains a folding table.
b2-significantly		adv. 显著地；大幅度地	improve significantly	The result can improve significantly.	The result improved significantly.
