# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b2-partly		adv. 部分地	partly responsible	The answer is partly correct.	The problem is only partly solved.
b2-elsewhere		adv. 在别处	look elsewhere	The answer may be found elsewhere.	We decided to look elsewhere.
b2-household		n. 家庭；住户	each household	Each household received a letter.	A household can include several people.
b2-breast		n. 胸部；乳房	breast cancer	The doctor checked her breast.	The campaign provides information about breast cancer.
b2-silence		n. 沉默；寂静	complete silence	The silence was complete.	His silence was unusual.
b2-acknowledge		v. 承认；确认	acknowledge a mistake	He chose to acknowledge his mistake.	We should acknowledge their contribution.
b2-secure		adj. 安全的；稳固的	a secure system	We need a more secure system.	The door is now secure.
b2-publication		n. 出版物；出版	a scientific publication	The article appeared in a scientific publication.	The publication is available online.
b2-shadow		n. 阴影；影子	in the shadow	The tree has a long shadow.	He waited in the shadow of the building.
b2-struggle		n. 斗争；艰难努力	a long struggle	The project was a long struggle.	Their struggle for equal rights continued.
b2-sum		n. 金额；总和	a large sum	They paid a large sum of money.	The sum of the two numbers is ten.
b2-imply		v. 暗示	imply that	Her question may imply that something is wrong.	This may imply a problem.
b2-being		n. 生物；存在	a human being	Every human being needs food and water.	The story is about a strange being.
b2-illustrate		v. 说明；加插图	illustrate a point	This example will illustrate my point.	A picture can illustrate the idea.
b2-phase		n. 阶段；时期	the final phase	The project has entered its final phase.	This difficult phase will soon end.
b2-display		n. 展示；显示屏	a digital display	The digital display shows the time.	The museum has a display about local history.
b2-initiative		n. 倡议；主动性	a new initiative	The government announced a new initiative.	She showed initiative by solving the problem herself.
b2-basically		adv. 基本上	basically the same	The two ideas are basically the same.	The work is basically finished.
b2-sequence		n. 顺序；序列	in the correct sequence	Put the events in the correct sequence.	The machine follows a fixed sequence.
b2-generate		v. 产生；生成	generate power	The system can generate enough power.	This change may generate new problems.
b2-widely		adv. 广泛地	widely used	This method is widely used.	The news was widely discussed.
b2-crew		n. 全体工作人员；船员	the flight crew	The crew is ready.	The crew can operate the aircraft.
b2-notion		n. 观念；想法	a common notion	The common notion is not always correct.	This notion is common.
b2-capture		n. 捕获；抓拍	a clear capture	This capture is clear.	The capture of the animal was difficult.
b2-closely		adv. 密切地；仔细地	work closely	We must work closely together.	Please examine the result closely.
b2-emphasis		n. 强调；重点	place emphasis on	The course places emphasis on practice.	There is too much emphasis on speed.
