# schema=1
authoring_method	direct-llm-correction
b1-ours	3fb17c5d0dc900cc	这栋房子是我们的。
b1-decorate	d4b34ff2bda103e6	我们可以装饰这个房间。
b1-translation	986101e24c63840c	这是一篇不错的译文。
b1-photography	e677a48c32cd3f01	她在大学学习摄影。
b1-similarity	0ca9853bf342a524	这两种设计有明显的相似之处。
b1-scan	5ed73d724cc5f81b	请扫描这份文件并发给我。
b1-talented	81e1a72dc4be146a	她是一位很有才华的音乐家。
b1-definite	cc5612c6c485bfbb	我们今天需要一个明确答复。
b1-determined	fa08db6baf979e15	她决心获胜。
b1-donate	45796c3a3c2fccdc	他们每年都向医院捐款。
b1-bubble	329f4c23f338c26f	我能看到水里有一个气泡。
b1-drum	32ef86cf524929df	他会打鼓。
b1-stadium	fcb00cc731ca0206	数千人坐满了体育场。
b1-costume	edb3005db0aa6c75	她穿着一套戏服。
b1-calm	52aa526983e9d04b	请保持冷静。
b1-documentary	2e38b3fdebd3db2f	这是一部关于自然的纪录片。
b1-indirect	c05ab7e5324bef34	他给出了一个含蓄的回答。
b1-earthquake	a08ab5b4e833fec9	一场强烈地震袭击了这座城市。
b1-incredibly	b0644e2a4ce373c5	这项任务难得令人难以置信。
b1-ambitious	90d1750e9659c27f	公司宣布了一项雄心勃勃的计划。
b1-qualified	a2acb35cde65e999	只有合格的医生才能做这项工作。
b1-expedition	61dc586ede71e387	他们参加了一次科学考察。
b1-cheat	6dce74dec4395765	考试时不要作弊。
b1-shy	182d7f57ee100d0a	他小时候很害羞。
b1-worldwide	0c011d8d12d5939d	这项活动引起了全球关注。
b1-relaxed	e3ecd200a8403a9f	度假后我感到很放松。
b1-entertain	09ddc908ba0d85c6	我们可以招待客人。
b1-breathing	f49686214ac95cd8	缓慢呼吸有助于放松。
b1-hurricane	9d2b2ddb6cff944a	一场强烈飓风抵达海岸。
b1-robot	381c2d73c040e7f4	这家酒店有一个服务机器人。
b1-embarrassed	88c864e2a444f995	我的错误让我很尴尬。
b1-fur	64f80a5597e57c36	这种动物有厚厚的皮毛。
b1-unpleasant	ed6f0d6d942b7610	房间里有一股难闻的气味。
b1-printing	256e1e56c7835873	现代印刷速度快、成本低。
b1-bride	da658895d2717cbc	新娘穿着白色礼服。
b1-organized	bd4205bceb947bfa	她是个很有条理的人。
b1-revise	5964695a3afa1f5c	我需要为考试复习。
b1-dislike	9b8fd910c021dcc0	我不喜欢吵闹的音乐。
b1-queue	81659227ddf2cfc2	我们加入了买票的队伍。
b1-fashionable	cfbde1d502d5b369	她穿着时髦的衣服。
b1-sailor	e6408ed381faf107	他是一名经验丰富的水手。
b1-cheerful	04d485073b2a1305	她是个开朗的人。
b1-frighten	cf481ae9a928f4d0	这种响声会吓到孩子。
b1-organizer	ab99484b3c00d7c3	活动组织者在这里。
b1-shiny	90849d2352f11345	他穿着一双锃亮的黑鞋。
b1-luxury	66f5f2c07d2c4009	独立房间是一种难得的奢侈享受。
b1-embarrassing	cb030629a4b08581	这是一个令人尴尬的错误。
b1-quotation	237c0ee8eeaa2039	演讲以一句名言开场。
b1-injured	03ad77fe88dc4a3e	受伤的球员离开了赛场。
b1-keyboard	c1107d2f88613dab	这个电脑键盘声音很小。
b1-theirs	144b7db3edcdbf7b	那辆蓝色汽车是他们的。
b1-summarize	0ff7a78d7d613028	请用一段话概括这份报告。
b1-frightening	3fae00abc05ce7ad	那是一次令人恐惧的经历。
b1-repeated	5bf20268ae36ffc4	反复犯错会造成问题。
b1-disappointing	20dd8f440e1a5942	这是一个令人失望的结果。
b1-educated	2fac68578f1588ad	她受过良好教育。
b1-amazed	b744a5ab60857d71	景色让我们惊叹不已。
b1-indoor	24794f17869a3f70	游泳可以是一项室内活动。
b1-imaginary	55ab6149eebcef02	这个孩子有一个想象中的朋友。
b1-underwear	6b6d9be64459c44e	带上足够的干净内衣。
b1-spoken	e0704376f9f06db5	她的口语表达很清楚。
b1-annoyed	965ba388c3e2a782	这个问题让我很恼火。
b1-fry	393babf9ebd6a791	我会煎鸡蛋。
b1-fasten	a2ec062f5eaa0ee5	请系好安全带。
b1-outdoors	2ceb79fcb206326d	他们夏天在户外工作。
b1-careless	184031a8abaf6ebc	那是一个粗心造成的错误。
b1-annoy	9b5cba5691cacaa9	吵闹的音乐可能会打扰邻居。
b1-spicy	64031410d86e264f	我喜欢辛辣的食物。
b1-indoors	bc4ed8166cbc72f7	因为下雨，我们待在室内。
b1-alcoholic	d11f51d41321ec14	这是一种含酒精的饮料。
b1-racing	aa70979522f76ae2	他对赛车运动感兴趣。
b1-annoying	ae9177917a8c23ee	这是一种烦人的声音。
b1-covered	612d08e6ec8b5337	道路被积雪覆盖。
b1-poisonous	6eb19274ecd564f6	这是一种有毒植物。
b1-statistic	642a249564f298c0	报告中包含一项重要统计数据。
b1-relaxing	2edd3add73f2967b	我们度过了一个轻松的假期。
b1-engaged	82abd1fbb30afe4a	她和童年好友订婚了。
b1-dressed	c57fa9b6c377b243	他穿着一身黑色衣服。
b1-located	e4225c9dec080f59	这家酒店位于车站附近。
b1-planning	3271dcb5bcdd8f76	这个项目需要周密规划。
