# schema=1
authoring_method	direct-llm-correction
b2-league	e8cd16a5173eb1b1	这支球队希望加入全国联赛。
b2-dozen	7d094a7e75e34cae	我买了一打鸡蛋。
b2-contribution	b6cf37c0388a1d25	她的工作是一项重要贡献。
b2-crisis	5f5b9e7147e6ee74	这个国家正处于危机之中。
b2-annual	6bb49aa8ae901352	公司发布了年度报告。
b2-associate	a9ff23b74ac1a7b0	我和一位商业伙伴讨论了这项计划。
b2-vision	f35f85c6252b4672	她对未来有清晰的规划。
b2-presence	b2864a959877230b	检测证实了水的存在。
b2-protection	ddf571efb53c98e9	这项法律为工人提供保护。
b2-master	9a0d9d389173e2c5	他精通这项游戏。
b2-relatively	5180df6faa886b80	这次考试相对容易。
b2-handle	84ab42ff6a5713a3	门把手坏了。
b2-relevant	17c760925ab5cf2b	请只提供相关信息。
b2-apparently	eb0f3c744d7a9cfc	看来这家商店已经关门了。
b2-consideration	d09f379332d0ed05	成本是一个重要的考虑因素。
b2-assessment	d96faa4c6956cb2d	评估已经完成。
b2-emerge	30a6bdd5ce1b69b5	数据中开始显现出一个清晰模式。
b2-regional	869627b803901490	这家公司提供区域性服务。
b2-resident	97d489b953d1169c	一位居民告诉了我们这个问题。
b2-deny	aa41ba54e885aeab	他继续否认这一说法。
b2-potential	402a674b9cfc5c72	这个想法很有潜力。
b2-willing	5b3a7d60cc9af1bc	我愿意帮忙。
b2-justice	51bec87c98e2d159	这家人继续寻求公正。
b2-observe	20b875f366ff8d6f	我们可以观察这种变化随时间的发展。
b2-settle	0dcf348fdc4a5c70	我们可以解决问题。
b2-estate	2aa7071c1414d2b3	这个家庭拥有一大片地产。
b2-leadership	61db54f445679a34	这个项目需要强有力的领导。
b2-propose	2a336df661448c7e	我提出一个简单的解决办法。
b2-additional	7dd6f1fb59c493fc	我们需要更多信息。
b2-contribute	4a830e995406457e	良好的规划有助于成功。
b2-objective	5511f9efedff12ee	这个项目有一个明确目标。
b2-largely	cffdb43cbdcc24af	这两个计划大体相同。
b2-faith	95e0dcd1f4a23acf	我相信这个团队。
b2-nevertheless	570706f6f53ea7cc	任务很难，但我们还是完成了。
b2-confidence	c96867dc70509384	练习能够建立信心。
b2-commitment	df0c5c2bcae2792b	承诺需要付诸行动。
b2-critic	2b1664bf61b6d08b	这位评论家写了这部电影的评论。
b2-volume	fd71480612452445	请把音量调低。
b2-insist	d373a6e967b0925d	他们坚持要求全额付款。
b2-entirely	36515fb4aa87d541	这两个系统完全不同。
b2-demonstrate	38996db2eea114ba	老师将演示这种方法。
b2-domestic	9ab8ee5c3bed9bbc	家务劳动可能很辛苦。
b2-engage	7b4d6333b4e190d4	学生应该参与讨论。
b2-threaten	28dbab8ce398dd1d	这场火灾可能会威胁公共安全。
b2-relief	70d04540c7a9f8c5	考试结束后，我感到如释重负。
b2-grant	b81ec4a33784d614	她获得了一笔研究资助。
b2-actual	c8d4c6c1f491a50f	实际结果并不相同。
b2-regulation	3c6dadc794e65082	新的安全规定将于下个月生效。
b2-broad	f4636ad6e1d81dc4	这门课程涵盖广泛的主题。
b2-wage	641b41b9e70ba62c	每位工人都需要合理的工资。
b2-acquire	4832e9849012d9af	学生通过练习掌握新技能。
