# schema=1
authoring_method	direct-llm-correction
b1-naturally	37cd12483e64e8db	尽量自然地说话。
b1-prayer	497a4b4215d2f6e9	他们饭前做了祷告。
b1-secondary	a2d210a11242ff32	费用只是次要原因。
b1-childhood	dd0f1e8d764b2e90	她童年时期住在国外。
b1-currency	f6d53a7310ac116e	你可以在这里兑换外币。
b1-graduate	37156aa128226b8c	她是一名刚毕业的大学生。
b1-emotion	1f75c6bc9db18364	他很少流露情感。
b1-rarely	ddc6c59ace51cd78	我们很少在外面吃饭。
b1-bother	0824d3b6b9c4b87b	很抱歉打扰你。
b1-arrest	9b47928611517ad3	这次逮捕上了新闻。
b1-analyse	ff8cccbb55505ff1	我们需要仔细分析数据。
b1-heavily	7a79ed6f07724b8c	这里可能会下大雨。
b1-silent	1c2ad4cf3a597fe0	房间里很安静。
b1-assist	34a4c7762f498cfd	我可以协助医生。
b1-port	04fe6d8d18a7cd37	船抵达了一个繁忙的港口。
b1-layer	78d5728644ffac7e	这是一层薄冰。
b1-string	b1223e2b189ea94c	用一段细绳把盒子捆起来。
b1-poem	543ef60ec05b856b	她写了一首关于大海的诗。
b1-glad	8221a66fe6d5f11e	我很高兴能帮忙。
b1-alcohol	9eddfa9acdd1b721	这种饮料不含酒精。
b1-bend	fb8ebea961da053d	你可以用手把这根铁丝弯曲。
b1-unlike	c94012613a4f5cff	她和其他人不同，很早就到了。
b1-recommendation	0b443b930ba80b04	这是我的建议。
b1-profession	8e32eaee834389e5	教师是一种职业。
b1-album	919491e410184721	我们翻看了一本旧相册。
b1-cottage	e154d04172650e87	他们住在一间小屋里。
b1-export	65ca965ebe30b177	咖啡是这个国家的主要出口产品。
b1-valuable	9cdf8013e7dec0e9	这份报告包含有价值的信息。
b1-regularly	a84586d9e49965b1	我经常锻炼。
b1-countryside	d880f77dc8706fd2	他们住在乡下。
b1-symptom	08e113bbd52c8229	咳嗽是一种常见症状。
b1-relative	e69257e9654601ee	一位近亲来探望我。
b1-breathe	3749f5e4f79cdc6e	尽量慢慢呼吸。
b1-keen	0fe87c8a290ad2fd	她很想学习。
b1-arrival	b214da1014bc8aac	请在到达后给我打电话。
b1-passion	9819d594910dd78f	她对音乐充满热情。
b1-volunteer	f88532c5510d27c5	一名当地志愿者给我们指了路。
b1-priest	3637bb576aecb9ea	牧师谈到了和平。
b1-retire	5d1a1f169244fc9d	我父亲计划明年退休。
b1-cap	6d3057c098521934	他戴着一顶蓝色棒球帽。
b1-competitive	e8b23db16efce426	这是一个竞争非常激烈的市场。
b1-presentation	09b59467e64eb522	她做了一场关于这个项目的报告。
b1-whenever	2d7b334487cf5c03	需要帮助时随时给我打电话。
b1-pale	646c55e268aae60a	你今天脸色苍白。
b1-laboratory	840ac3ccc82954b0	这项测试是在实验室进行的。
b1-mood	bcde5788a3d66896	她今天心情很好。
b1-mystery	96acdebcc691c2a5	警方正试图解开这个谜团。
b1-poverty	cf4ebe9e57f9316e	许多家庭仍生活在贫困中。
b1-spending	9e3ae181b799378a	政府支出过高。
b1-custom	12d52eebddebdb66	进门脱鞋是当地习俗。
b1-entertainment	d9430be4ea359203	酒店提供现场娱乐节目。
b1-approximately	3046e14a98e6d7af	这段路程大约需要十分钟。
b1-rent	55d0c2b1c93b762c	房租明天到期。
b1-qualification	8fdee67d8072fefb	做这份工作需要专业资格。
b1-bury	d102cf8a12b5ae63	他们决定把盒子埋在花园里。
b1-pray	1a19db260420adc8	人们聚在一起祈求和平。
b1-mixture	fdf68611a2efef3d	这种混合物有多种颜色。
b1-entrance	f557d03cb94ad4df	在正门口和我见面。
b1-viewer	89e90e8c9bce47b2	每位观众都可以投票。
b1-pan	093320cb08767e20	把食物放进锅里。
b1-historic	c737213f81e70263	这项协议是一件具有历史意义的大事。
b1-successfully	d65561b12e627131	我们可以顺利完成这项工作。
b1-journal	76034306c0e1e8c2	我每天晚上写日记。
b1-weigh	3445859d2be1096a	请称一下这个包裹的重量。
b1-tube	419c8e3067a4cf98	水从这根塑料管中流过。
b1-quit	73c859bdba7f2139	她决定辞职。
