# schema=1
authoring_method	direct-llm-correction
b1-prince	214468a9dee8405c	这个故事讲的是一位年轻王子。
b1-historical	67b1636537293433	这本书包含历史资料。
b1-unable	a03bb50c0a9ea506	我无法参加会议。
b1-attract	adf96cc92a12d42f	这座城市能够吸引人们。
b1-participate	8ef7c85ede84e4c4	每个人都可以参加这项活动。
b1-reject	046200036baf72b2	她决定拒绝这个提议。
b1-tape	84bea0c9c8118c19	用一段胶带把它固定好。
b1-hire	c158d3197b4da17d	我们决定租一辆车。
b1-familiar	9fafbec7d8963828	你的脸看起来很熟悉。
b1-consist	c01ef9bbb50f1648	这个小组可以由六个人组成。
b1-unemployment	c14de6be41bc37f9	这座城镇的失业率很高。
b1-eastern	90630740e18842e0	他们住在这个国家的东部。
b1-warn	157377f7d39b57ea	我必须提醒你注意这个问题。
b1-surely	c85517af44f4e27e	你肯定知道答案。
b1-intention	ba4a60c9b5ddfbc1	我的本意是提供帮助。
b1-definition	e03647f30a645c24	这本书给出了清晰的定义。
b1-suitable	db24eb63b1f27830	这部电影适合儿童观看。
b1-immediate	33de866f406d90f0	这个问题需要立即采取行动。
b1-divide	1fe9b21c74c36512	我们可以把工作分开完成。
b1-ought	f87c40ab0b9116bc	我们应该帮助他们。
b1-literature	990a8754a6e660e7	她学习文学。
b1-leading	056836e1d24ce1c0	这是一家领先的科技公司。
b1-appointment	010c35947f432d5b	我明天有一个预约。
b1-fuel	45d7316163856ea5	这辆车耗油更少。
b1-expand	e377ea87a9a46c5f	公司计划扩大业务。
b1-mental	de4af8d6f6262622	运动有益于心理健康。
b1-educational	63887ff0b185677f	博物馆提供教育项目。
b1-explore	56d1695ebb009716	我们可以探索这个地区。
b1-enemy	e9d241ed16db8e93	他们联合起来对付共同的敌人。
b1-scientific	30a7d9f6f0ed2bdf	这个说法需要科学证据。
b1-totally	71d753e4090e262a	这两个计划完全不同。
b1-channel	9b0e79083ffc2e82	这个新闻频道很受欢迎。
b1-frequently	8a9c17095b1cbef4	这个问题经常有人问。
b1-seriously	cc54184384bacb4e	你应该认真对待这个警告。
b1-properly	086719a4b546bfd0	这台机器运转不正常。
b1-unlikely	0d8db5449b12b924	他似乎不太可能来。
b1-necessarily	552f2494166db56f	那不一定是真的。
b1-theme	1ee524bf17e18056	主要主题是家庭。
b1-conclude	21f419ec5553ef30	我们得出结论，这个计划可行。
b1-captain	647d51731ee1009d	她是队长。
b1-shift	9c93c46b7bb3368d	他上夜班。
b1-locate	6dc3404203b51834	我们需要找出问题所在。
b1-escape	9f4579def982a2e6	他们计划逃走。
b1-trend	f415dee6add66c3a	居家办公正成为一种日益明显的趋势。
b1-investigate	5994f65b195e3f40	警方将调查此案。
b1-afford	f0da2709c767fc8f	我们买不起新房子。
b1-beauty	0966434d35396bb2	这个地区以自然美景闻名。
b1-emergency	5d56ac48ae1c5883	遇到紧急情况请拨打这个号码。
b1-advise	26d123b3c6d02225	我建议你等一等。
b1-appreciate	d56c59c30d229c81	我非常感谢你的帮助。
b1-setting	56be2b6e6824be18	这个故事以城市为背景。
b1-prepared	8ec93c8cc247f295	我们已经为会议做好准备。
b1-flow	54339de6a3c19f09	水流很急。
b1-mix	88e35ed908ca93b8	这座建筑融合了新旧风格。
b1-persuade	7ab8093fb8a7887b	我可以说服他留下来。
b1-politician	02a613c8da207942	一位当地政治家对我们发表了讲话。
b1-percentage	1c38a78123a05f02	很大比例的人表示同意。
b1-soil	951929c683f7f193	这些植物需要肥沃的土壤。
b1-effectively	670e9bc61d02c0a2	我们可以高效合作。
b1-engineering	51225e6644cb7dee	她在大学学习工程学。
b1-rare	91c79203ac0989c6	这是一种稀有动物。
b1-host	142be4463f30692d	她是这个节目的主持人。
b1-producer	21ce8a1746abca47	他是一名电影制片人。
b1-impression	1d86848221a8bcaa	这能给人留下深刻印象。
b1-meanwhile	f17faf8c8e170215	我可以做饭，与此同时他可以打扫卫生。
b1-attach	1ded2417c05cb1bb	请把文件附在电子邮件中。
b1-atmosphere	53f24dd85dfeccfd	这家餐厅气氛友好。
b1-smart	8823fbb98bf634b0	她是一名聪明的学生。
b1-clause	f4363c276fee4928	这个句子包含一个从句。
b1-marketing	d07060ab9fdd1c48	公司需要一份新的营销方案。
b1-pour	2706985c53515dc6	请把水倒进杯子里。
b1-warning	a1ccc032e6ca3fb9	这个标志发出了明确警告。
b1-prisoner	d03a2180a82a9cbe	这名囚犯现在在法庭上。
b1-champion	950f7d9971c3aefb	她是世界冠军。
b1-switch	65934899a13ddd86	按下开关启动机器。
b1-specifically	707d8a00f7c5cc49	我明确要求安排一间安静的房间。
b1-signal	576cacbe5a4d2a95	我的手机在这里信号很强。
b1-strongly	10d1861d0bd27458	我强烈赞同这个决定。
b1-apart	4842d804f6ce55d0	这两栋房子相距很远。
b1-plenty	81a09d81103a7011	我们有充足的时间。
b1-achievement	6742b04a9710746e	完成这个项目是一项重大成就。
b1-proud	83a59658aced9e7a	我为我们的团队感到自豪。
b1-bomb	6eb7c2c59a60ef9b	警方发现了一枚炸弹。
b1-originally	57dd22d44818fdab	会议原定在星期一举行。
b1-complaint	a2f1556ad1d7ff7d	我对这项服务有意见。
b1-invest	5010b7106e32861d	他们计划为这个项目投资。
b1-odd	a4f50cc070793f3f	那个问题很奇怪。
b1-typically	6787a19788fd61ec	这段路程通常需要两个小时。
b1-similarly	2af0476c214b4f2a	这两个计划同样实用。
b1-talent	b9031d12dabdc99a	她有音乐天赋。
b1-perfectly	c0dfb365c2130d72	你的解释非常清楚。
b1-convince	9a6b2b3066baeec8	你能说服他留下来吗？
b1-quote	9824c61b3a216a52	这篇文章以一句名言开头。
b1-accommodation	e69caa9dcc841073	我们在车站附近找到了便宜的住处。
b1-campus	bf3d02189ac6eadf	学生们在校园里生活和学习。
b1-supporter	fc9a808ec673199c	他是这支队伍的支持者。
b1-guilty	6e90d60cca774b3d	他被判有罪。
b1-immigrant	43db64f63cea2742	她是一名新移民。
b1-illegal	bec8a20c142acf65	在这里停车是违法的。
