# schema=1
authoring_method	direct-llm-correction
a1-pepper	25181e3001babdb4	这道菜需要加胡椒。
a1-diet	6f8285318fa72536	这种饮食方式很好。
a1-cream	67bedf444173c7c1	这是奶油。
a1-breakfast	b9de886d47139198	这是早餐。
a1-hi	497c1519cdbf3661	嗨！
a1-phrase	2918a13664244aba	这个短语很重要。
a1-hello	9224fce07c59fabe	你好！
a1-friendly	22b73ad27e87bfd0	她很友好。
a1-uncle	3cf45c8fae77e0c3	他是我叔叔。
a1-tourist	8107c1b49bca8b83	他是一名游客。
a1-birthday	6f5a3df6749446c3	今天是我的生日。
a1-teenager	e0f8b2e4ba6c3dc2	他是一名青少年。
a1-policeman	39e58bdb308ca49f	他是一名警察。
a1-grandmother	118613ae79f96e98	她是我祖母。
a1-paragraph	6c9cd7efbc4189a3	这一段很短。
a1-favourite	84bfa2342e173cda	这是我的最爱。
a1-aunt	08bbdc32f2d54b49	她是我姨妈。
a1-vacation	20510c8aba6a18f0	我在休假。
a1-cousin	baf69bebae74367a	她是我的表亲。
a1-chart	67745c3623226647	这张图表很有用。
a1-practise	ff5cb43e3007d00e	我每天练习。
a1-dialogue	151898e1430406ac	我读了这段对话。
a1-singer	ded077fd303464b2	她是一名歌手。
a1-grandfather	f017257f012b9742	他是我祖父。
a1-menu	fd5bfea64549b288	我看了菜单。
a1-hungry	912204e1d7c6aec3	我饿了。
a1-shower	514a52497473c908	我洗澡。
a1-actress	7bcf3b51ec64c0a5	她是一名女演员。
a1-cooking	dcf9581cad6581c3	我喜欢做饭。
a1-boyfriend	c0bef88db4d13837	他是她的男朋友。
a1-spell	b845d125730bf69d	我会拼写这个词。
a1-jeans	ee3e79ba087c9a05	这是一条牛仔裤。
a1-toilet	a6c1dae86847b66d	这是一间厕所。
a1-dancer	64faf550cd73670f	她是一名舞蹈演员。
a1-gym	2b059fd50f2f89db	这是一家健身房。
a1-geography	ae0fa0e009a4831d	我喜欢地理。
a1-bye	92f06aa81fd39666	再见！
a1-boring	291b0d32d5e501a1	这很无聊。
a1-exam	7446c492c3783252	今天有考试。
a1-grandparent	3bd150b277e91c9d	她是我的祖母。
a1-dancing	d7452f848aa12d3b	我喜欢跳舞。
a1-homework	125e2255153fa305	我做家庭作业。
a1-waiter	5893ca4d4cad03d1	他是一名服务员。
a1-goodbye	74f0d4512d99a6c3	再见！
a1-spelling	c03d63b23f2f24e5	这个拼写是正确的。
a1-hobby	e1bad6ef3a012d0f	这是我的爱好。
a1-blonde	f82190c59c0826b5	她有一头金发。
a1-euro	cb0a553991989d4e	一欧元就够了。
a1-thirsty	be36998754690bc5	我渴了。
a1-blog	2d592b102032ea3a	我读了这个博客。
a1-dvd	2317c3c99290c5d4	这是一张 DVD。
a1-girlfriend	216e684e14bcde47	她是他的女朋友。
a1-online	68d7f98bf7962fe5	我在线。
a1-thanks	b7567af23b8f5703	谢谢！
a1-theatre	65af7874086808f3	这是一座剧院。
a1-website	f4c20b69745efa8a	我使用这个网站。
