# schema=1
authoring_method	direct-llm-correction
b2-licence	252768b6875df7bb	你需要驾驶执照。
b2-abandon	bb6309220177a725	他们决定放弃这项计划。
b2-construct	0e0d2607625bd454	公司将建造一座新桥。
b2-fault	c5d68641c60d4845	这是我的错。
b2-unknown	1d0e614db44682ee	原因仍然不明。
b2-wrap	28230148f11184a3	她肩上披着一条保暖披肩。
b2-preparation	a4138146fd8f65e0	这份报告仍在准备中。
b2-interpret	fa9c76d42fa6ed87	我们需要仔细解读这些结果。
b2-spiritual	fd2d16aa9db4ad9e	这本书探讨精神生活。
b2-dismiss	26e19a181da3857d	法官可能会驳回这项诉求。
b2-suspect	11ddc2eef1db9df4	嫌疑人当时在警察局。
b2-scream	6c6e176d62e9fc73	我们听到一声响亮的尖叫。
b2-dramatic	580530b1ecf3d722	天气发生了剧烈变化。
b2-universe	4ce299f017df145a	宇宙非常庞大。
b2-alter	439457ee1544d033	我们需要修改设计。
b2-deeply	5c48cf78ef1b6bb7	我非常担心这个问题。
b2-drag	b4c71d5e31aa0146	高成本会拖累增长。
b2-possess	ddaf259faf87d2a5	很少有人具备这种技能。
b2-agenda	dc43eed7184645d3	这个问题列在议程上。
b2-funding	3cb437aaf4328943	这个项目依赖政府资金。
b2-therapy	eb61d3fb8b90dcb2	他正在接受物理治疗。
b2-purchase	33869196ddcc53ee	买这辆车是一笔大额支出。
b2-visual	720b105a1380888e	这张图表提供了直观信息。
b2-inch	e70f18a3d3dd928d	这块板有一英寸厚。
b2-depth	ed6ff5f64483ba7c	我们需要测量深度。
b2-saving	87e04aed85a44178	新系统能够大幅节省能源。
b2-command	5f61eb9ec05d5f6a	这名军官下达了明确命令。
b2-calculate	f30ea86792829c66	我们需要计算成本。
b2-delivery	8cca498aa1479b7d	这家商店提供免费送货服务。
b2-resolve	c035f52871eb8a92	双方都希望解决冲突。
b2-slide	d031ca479d65df82	第一张幻灯片展示了主要结果。
b2-opponent	58f17e49b5c6f4e7	对手实力很强。
b2-obligation	1dbae0da70b93652	公司有保护工人的法律义务。
b2-transform	6fc674720a3ae645	这个项目将彻底改变该地区。
b2-efficient	9243d4d71c497223	我们需要一个更高效的系统。
b2-occasionally	0c6557a85a0e32b1	我偶尔在家工作。
b2-preserve	ba08afd59c3bc640	这座城市计划保护这栋老建筑。
b2-load	c05296475293167f	卡车载着沉重的货物。
b2-transition	3c2e0add248e2578	我们希望顺利过渡到新系统。
b2-deserve	d641a0fd7097563b	他们值得尊重。
b2-consistent	a437d579f2a30b22	这些结果是一致的。
b2-pose	0c1d4a51a4453f08	这个姿势很自然。
b2-stream	11b571fc3fecf6ad	村庄附近有一条小河。
b2-reputation	e1f7595c01741f7e	这家公司声誉很好。
b2-slight	c0211d1f34f6cbc5	那是一种轻慢。
b2-tale	51f616d84ba9ffd9	这本书讲述了一个传统故事。
b2-convert	37ba10ce1cf955ab	他最近才改信这种宗教。
b2-philosophy	6d0ef32bd0277141	她的人生理念很简单。
