# schema=1
authoring_method	direct-llm-correction
b2-arms	1452ff72c0bb2dfd	这个团体同意交出武器。
b2-bacteria	18338887aeb0c15f	有些细菌会引发疾病。
b2-criterion	72db5744367dd3b3	成本是我们的一项重要标准。
b2-logical	71e21ef50e0ac6c7	那是一个合乎逻辑的结论。
b2-long-term	cbbf48f4f901c694	我们需要一项长期计划。
b2-means	655d9e573e686081	火车是我们的主要交通方式。
b2-resist	6438b06575c8bc09	她无法抵抗这种压力。
b2-council	7bc9a553d255e1fb	委员会将讨论这项计划。
b2-minister	8d8b2d9b1acabad4	外交部长在会上发了言。
b2-former	090dc6d37f50005f	这位前部长写了一本书。
b2-thus	98b55db280fc643c	道路封闭了，因此我们只好等待。
b2-establish	6ee00aa647094b88	他们计划成立一家新公司。
b2-approach	7a840f11fa1eb12e	我们需要用不同的方法处理这个问题。
b2-scheme	b0519e826271e51a	公司推出了一项培训计划。
b2-seek	d18437ca48995a52	你应该寻求专业建议。
b2-firm	25d6426a837ca4f6	她在一家小公司工作。
b2-lord	80344af848dd568b	当地领主拥有这片地区的大部分土地。
b2-contract	c03368ab40952f9f	合同内容很清楚。
b2-concerned	6e6c3b0d3d963f6d	我担心你的安全。
b2-administration	9a661f98fb1dd3bf	行政部门制定了一项新政策。
b2-agency	ccac9f689fcda75b	一家政府机构发布了这份报告。
b2-ensure	71cf96f683eb9900	这些规定保障了公共安全。
b2-concern	22eba497c844e5ea	安全是我们最关心的问题。
b2-significant	a2609252f2960afa	报告显示出了显著变化。
b2-principle	46c6cf2662eddf35	这项原则很重要。
b2-demand	1ec5847cc68fe0f5	人们对清洁能源的需求正在增长。
b2-labour	03ec5b49b724c298	这份工作需要繁重的体力劳动。
b2-stock	e4ba7fb69693b3c8	这本书目前有现货。
b2-association	5a79281ff87606c2	这个全国性协会支持地方团体。
b2-income	53ad9d55be21251d	这份工作能带来收入。
b2-beyond	f2e90502a0543733	这个问题超出了我们的控制范围。
b2-fund	56a35d0507a9caef	这所大学设立了一项研究基金。
b2-cell	7a071f6fb141ebc6	每个人体细胞都包含重要信息。
b2-whom	daa512a65622893c	我知道你指的是谁。
b2-county	75f1b678a5d4b70c	这条新公路横穿整个县。
b2-defence	5c0eb39fb96eb32f	这个国家需要强大的防御力量。
b2-obtain	eb9192ae88adf97f	你必须先获得许可。
b2-investment	57959b917525d663	这台新机器是一项不错的投资。
b2-maintain	d74a82d0d7ba599c	我们必须保持高质量。
b2-prime	4476bc77afdd3a0b	这是优秀设计的典型范例。
b2-aspect	050aa59edacfa63f	成本是这项计划的一个重要方面。
b2-executive	e4bb670a8aec3375	这位高管担任重要职务。
b2-industrial	673bd82ca70ca340	这是一个工业区。
b2-chairman	d575f59e858bfabc	最终决定由主席作出。
b2-entire	0806abee9eca3fb4	我读完了整份报告。
b2-institution	2bc290a3dcb36536	这家博物馆是一所重要的公共机构。
b2-appropriate	d5cd26c5da981b24	那是一个恰当的回应。
b2-assume	92d828d8cf73e86c	我们不应该想当然地认为他同意。
b2-procedure	31d4c180b22b019a	请按正确程序办理。
b2-commission	e1002fac1f9300d9	一个独立委员会将审查此案。
b2-trial	42b942c106f6fecf	这种新药正在进行医学试验。
b2-proposal	5725f805cabe0e51	委员会接受了她的提议。
b2-circumstance	5f77110a7608401f	这种情况可能改变决定。
b2-sector	3233f621358e7abe	她在公共部门工作。
b2-reveal	a27a68c809778acc	这份报告可能会揭示真相。
b2-affair	6a865199cfb9392e	这是私事。
b2-appeal	001a18c9fb307bcc	这项计划很有吸引力。
b2-regard	787289995eb3f1d6	就成本而言，第二个方案更好。
b2-pupil	3ee165220adc3bfb	每名学生都收到了一本新书。
b2-operate	6a199a98699da065	我们可以操作机器。
b2-majority	34e07877832786f9	大多数人赞成这项计划。
b2-extent	2bb18757b2b7375e	我在某种程度上同意你的看法。
b2-enable	375bddafb73c63a4	新系统使人们能够在家工作。
b2-parliament	8c466683fdb07abf	议会将讨论这项法律。
b2-tough	5a26d078775c9f09	这是一个艰难的决定。
b2-facility	b648b30ad6f4ed4e	这座城市需要一处新设施。
b2-extend	4665d7cb57cb8ba0	他们同意延长这段期限。
b2-cancer	21052fc156c80772	早期癌症治疗可以挽救生命。
b2-violence	fd288741c4ea3c4c	这项新政策旨在防止暴力。
b2-arise	db59b09e9e8f517d	工作期间可能会出现问题。
b2-species	4f603656362e3123	这种鸟是一个稀有物种。
b2-civil	25d9d76c86dada14	这起案件属于民法范畴。
b2-shot	0fae64fbc83a3357	他最后射了一次门。
b2-budget	48cac8b2a2da33f4	我们的预算很少。
b2-threat	479c0774b6bab293	气候变化是一项严重威胁。
b2-district	0606372a8deeef41	她在商业区工作。
b2-requirement	a23aac697d7aa823	这项计划符合所有要求。
b2-debate	955b6b77f6caa6ec	我们今天有一场辩论。
b2-citizen	f44f58bd9a9b4ff0	每位公民都有权利和义务。
b2-opposition	e8d1421d62070e56	这项计划遭到反对。
b2-senior	79bf6e2ea98daa63	她是一名高级经理。
b2-mission	7306d9888985b72d	我们的使命是帮助当地居民。
b2-aid	c07e2a114aefdccd	这个国家送去了医疗援助。
b2-concept	c4ef71c360fa7f59	老师解释了这个难懂的概念。
b2-participant	da2464f805605567	每位参与者都收到了一张表格。
b2-gain	dbe9d05d13dd6071	这种变化可能带来收益。
b2-fully	7cf82c79b1ff5300	我完全理解这个问题。
b2-critical	a73eaedfcfd3f2a1	这是一个关键决定。
b2-recall	68eda1b351aa6aaf	公司宣布召回该产品。
b2-stare	301a487baa776485	不要长时间盯着屏幕看。
b2-otherwise	3146ac4936f72313	我们现在必须出发，否则就会迟到。
b2-status	87d92225454647d7	报告显示了项目的当前状态。
b2-strike	bc00aa7777097967	工人们决定举行罢工。
b2-failure	dfaf5736ce5b3400	失败能给我们教训。
b2-freedom	ba081374f3671cf3	法律保护言论自由。
