# schema=1
authoring_method	direct-llm-correction
b2-virtual	37211c19d9184af9	我们召开了一次线上会议。
b2-decent	e9d38c8145fae363	我们找到了一家还不错的餐馆。
b2-vitamin	d48d490c99f34a66	这种食物含有一种维生素。
b2-praise	1143fb494ec44161	她的工作获得了高度赞扬。
b2-associated	2f55d87e57625824	这种疾病与吸烟有关。
b2-steep	6b684209a7a7b80a	我们爬上了一座陡峭的山。
b2-rescue	491703209a3bfe81	这场救援很困难。
b2-neat	54111d002bd430db	这个房间干净整洁。
b2-tropical	5cc01c0010627e95	这座岛屿属于热带气候。
b2-exploration	f905662f5f3a32e2	这个国家投资于太空探索。
b2-feedback	c942e4c76c875594	请对这门课程提供反馈。
b2-edit	e01491f7f68fdce8	我需要编辑这份报告。
b2-surrounding	6e6a47862a835b90	我们了解周边地区。
b2-popularity	2c7d248d360fcb4d	它越来越受欢迎。
b2-venue	3d2d93bb5d7ad28a	我们需要为会议选择一个场地。
b2-impressed	e06a9ec831b61c54	这个结果给我留下了深刻印象。
b2-upwards	0a88e19b89804941	这条路通向上方。
b2-mysterious	b47c825d9481858b	我们听到了一种神秘的声音。
b2-shallow	90bf5a971a6af545	水很浅。
b2-lively	8ceb226b21949af2	今天市场很热闹。
b2-opposed	5c44c91ed6f2ed84	许多居民反对这项计划。
b2-depressed	d98a38f4d2a3323b	失业后他感到很沮丧。
b2-shocked	c949a84f24f8d43f	这个消息让我震惊。
b2-enthusiastic	9b25d0de88cbc806	团队对这个项目充满热情。
b2-genre	90cec8112e4fcb18	这是一种流行的体裁。
b2-decoration	599f1769316e9591	这幅画是一件墙面装饰品。
b2-cure	384a3fba758a5d93	我们需要找到治疗这种疾病的方法。
b2-deliberate	5a3c0e7616b3fbf6	这是经过深思熟虑作出的选择。
b2-rubber	b4363dc4f2f3e4a2	这种材料是橡胶。
b2-obey	aa92e3fca4d7dc4a	每个人都必须遵守规则。
b2-unconscious	7a35b83fe8eb6f69	他失去知觉。
b2-multiply	3536f27cb0b510ed	你可以把这两个数相乘。
b2-offend	046633cbc0570e1b	我不想冒犯任何人。
b2-ashamed	5dd8671f11a03445	我为这个错误感到惭愧。
b2-harmful	968aece142005a0f	吸烟有害健康。
b2-confusing	1fcdfbc5955f485a	这个解释令人困惑。
b2-matching	2494b3824f5ee9dd	他们穿着相配的衣服。
b2-curved	73acc1ab2cfee7d9	画一条曲线。
b2-depressing	5772215e3a7317a0	报告中有令人沮丧的消息。
b2-downwards	7fd99b87bf6cc758	这条路向下延伸。
b2-sincere	d6388a6f25672ab7	她的关心是真诚的。
b2-intended	d538231b8ee0171a	这本书是为儿童编写的。
b2-impatient	689c1ff133b07f6f	我对这次延误感到不耐烦。
b2-pointed	9a7ee84834a20873	这个工具有一个尖头。
b2-humorous	0f6f75b4ed01c265	他讲了一个幽默的故事。
b2-dishonest	3968958bd6625c9a	不诚实的行为会破坏信任。
b2-folding	894b8c15bf5ad03b	我们买了一把折叠椅。
b2-significantly	b2c6487d450ad9f3	结果可能会显著改善。
