# schema=1
authoring_method	direct-llm-correction
a1-title	014666cff6edf4e4	这就是标题。
a1-guess	e9e1a7d59e210af8	这是我的猜测。
a1-visit	745da63a7738baac	这是我第一次来访。
a1-customer	f5a5f34afd06404e	她是一名顾客。
a1-post	c2d607862b396af6	邮件到了。
a1-improve	6d269fc15b3c1dc4	情况会好转。
a1-radio	3b01b191a0f142cc	我有一台收音机。
a1-popular	76ce904c225340ae	这个节目很受欢迎。
a1-interview	e825dd4fb268eea0	我今天有一场面试。
a1-holiday	16b877aa3ac0daeb	今天是假日。
a1-advice	e5432bc96c475736	这是个好建议。
a1-adult	0aaf02d7eb777f41	他是一名成年人。
a1-writer	c49d0ce187954f27	她是一名作家。
a1-text	27792c9f151a8dcf	我读了这段文字。
a1-address	eb3d4a62425fcf9b	这是我的地址。
a1-object	f1f901092d5e6b6b	这个物体很小。
a1-partner	80f8e101acfc0810	他是我的搭档。
a1-positive	37fffdd7a9917cfe	这是一个积极的结果。
a1-painting	7ded4512ca150973	我喜欢这幅画。
a1-scientist	fe90b71aade0393c	她是一名科学家。
a1-newspaper	5ecfebecbc244c56	我读报纸。
a1-dinner	2163d3a387a30a29	这是晚餐。
a1-extra	d812c206c506b537	我需要额外的时间。
a1-travel	7d2ae1f9377fdd32	我喜欢旅行。
a1-born	2cb885cbb87f01b4	我出生在这里。
a1-mum	f97524e9b88f6684	她是我妈妈。
a1-interested	89282c9bb358b731	我对艺术感兴趣。
a1-reader	b9e85e72c843852e	他是一名读者。
a1-nobody	2beefed3067163b6	这里没有人。
a1-perfect	21e712ae9f610762	这个计划很完美。
a1-conversation	a8d50b1473690f99	我们进行了一次交谈。
a1-sentence	7090eadb1ed298ba	这个句子很短。
a1-beginning	06ce27bf019c3a8f	这是开始。
a1-pair	2490015fd8f911b5	这两个是一对。
a1-driver	3000c14983a0aa65	他是一名司机。
a1-meaning	ff5a273950dde576	这是什么意思？
a1-exercise	5bb5d1c95572a19b	这道练习很简单。
a1-august	2c06a2c9485bab4d	现在是八月。
a1-apartment	9660cb26e87dc20e	这是一套公寓。
a1-ride	95b3583fe7fa33ae	我出去骑一会儿。
a1-dad	29f7da9ed3ec7ab1	他是我爸爸。
a1-lesson	eb8f02ad89f6e693	这节课很重要。
a1-farmer	4e79735bd09d3676	他是一名农民。
a1-visitor	344f66d98b5f8b8f	他是一名访客。
a1-coffee	114d9899508e8795	我喜欢咖啡。
a1-repeat	cb53263e8151c4b3	请再说一遍。
a1-traffic	57a3d61d37b5ff75	路上车很多。
a1-football	8bef73fe41185fe7	我踢足球。
a1-hey	350166d860f29234	嘿！
a1-mistake	2da72eeb2692044b	这是我的错误。
a1-description	ffdd4e49a901f410	这段描述写得很好。
a1-cool	f1a86acea401d2ad	天气很凉爽。
a1-famous	5856c664a69d4197	他很有名。
a1-actor	35fe6dfb2958cc26	他是一名男演员。
a1-welcome	6d99c7df617e2ace	这里欢迎你。
a1-lunch	eb924c06349c5863	这是午餐。
a1-nurse	1bbfbe6f0203b43d	她是一名护士。
a1-topic	2ac60ad0ce3f202a	这个话题很重要。
a1-fun	43703dc2d2a9b7b0	这很有趣。
