# schema=1
authoring_method	direct-llm-correction
b1-ad	7875a546c63d0f82	我在网上看到了一则广告。
b1-goods	dc30eeb84034288c	货物今天到了。
b1-grade	6b4ac6a33b192458	她取得了好成绩。
b1-latest	f9bc86b58f57a8f0	这是最新消息。
b1-old-fashioned	909ce4e39cb8e016	那个想法已经过时了。
b1-path	a0c5861feb1f8394	我们沿着这条小路回家。
b1-tyre	e68821267e6a5e44	这辆车有一个轮胎瘪了。
b1-within	55d7428db0c7173f	我们可以在一周内完成它。
b1-set	950e72438a231660	我买了一套工具。
b1-issue	f629e2542458ae4f	我们今天讨论了这个问题。
b1-policy	2beb98f9b3378af3	公司出台了一项新政策。
b1-court	7466847edf64022e	这个案件被提交到了法院。
b1-whether	b91e08c552654837	我不知道是否该去。
b1-require	142c6b742065ecc4	这项工作可能需要更多时间。
b1-remain	595d889c9aad88fe	我可以留在这里。
b1-economic	7a2632435ecb822f	这个国家面临一个经济问题。
b1-upon	b1163f4fed50b318	书放在桌子上。
b1-therefore	6d0a1a42aab38f98	道路封闭了，因此我们等了一会儿。
b1-staff	5ecf83ed2e847a07	工作人员非常乐于助人。
b1-particularly	5a254012472b00e2	这本书特别有用。
b1-management	84f04a34b076dd58	良好的管理能节省时间。
b1-effort	6b9e230f24120381	我努力提供帮助。
b1-union	2d936d470f8f8e60	许多工人加入了工会。
b1-central	8608c75f50d8588e	这个想法是计划的核心。
b1-official	e6872dfdd356ef6c	一名政府官员在这里。
b1-claim	e717fb6706a6b7d7	这个说法可能是真的。
b1-indeed	6985569b598ca3f9	这个故事很奇怪，但确实是真的。
b1-simply	1e986ef327aa5759	这项任务今天根本不可能完成。
b1-chapter	0f84ef51e9829b12	我读完了最后一章。
b1-financial	36e85c14aa4700de	这个项目需要资金支持。
b1-application	6e75d9e625aa5a9d	我昨天提交了求职申请。
b1-production	027237184db99399	生产对这家公司很重要。
b1-security	ed1099b87bc9a74b	这里的安全很重要。
b1-occur	5550b92b9fd2472d	这里可能会出现问题。
b1-election	250e4ffb51affb43	选举将在下个月举行。
b1-campaign	d7cccf988543a274	这场活动影响了许多年轻人。
b1-various	ae1e1065b14cd4af	人们出于各种原因来到这里。
b1-economy	9139d2e581f08c38	旅游业有助于当地经济发展。
b1-represent	832c195d77d568b0	她将代表我们队参赛。
b1-risk	fe1e54aa50f8369a	开车太快会带来很大的风险。
b1-standard	794f22279510518f	这项工作达到了很高的标准。
b1-prove	e9621cf204cd46cb	你能证明这是真的吗？
b1-charge	57c64052f7a66c8f	他面临一项严重指控。
b1-performance	4152df035864d560	她的表演非常出色。
b1-royal	2b41ebe486be9d97	王室成员在这里。
b1-despite	8136596062cf350e	尽管下着雨，我们还是出门了。
b1-pressure	61fe4596d2b2dab5	他在压力下也能很好地工作。
b1-basis	5895150278abd18e	这个计划有明确的依据。
b1-analysis	302b7b9a3386d9ba	这项分析非常清楚。
b1-decade	48ad9aac5f865dbb	她在那里生活了十年。
b1-shoot	0ade6ac0b101de71	他们将在这里拍摄这部电影。
b1-treatment	87eda1e3bd2a1766	他需要接受治疗。
b1-relate	2bd966abb2f9db93	我可以把这个问题和我们的工作联系起来。
b1-whatever	310cc41cdb5986c2	你喜欢什么就选什么。
b1-difficulty	cc6d5ba913a6e533	我很难找到那个地方。
b1-legal	68b580c45e1e5564	你应该寻求法律建议。
b1-resource	d4c86e978d844335	这个网站是很有用的资源。
b1-determine	a1bcf1df7987edcc	几个因素会决定结果。
b1-function	1df9597b18f6d4d6	这个工具的主要功能很简单。
b1-indicate	a3466335be708975	结果表明存在一个问题。
b1-wonder	ce05b953efa719d3	这个地方是一处自然奇观。
b1-announce	19c397a05bb950eb	他们明天会宣布结果。
