# schema=1
authoring_method	direct-llm-reviewed
ogden-certain	54e891d27de08e53	这是一本特定的书。
ogden-hope	022cc43cf44dd0c6	我了解希望。
ogden-committee	19380721af30b22d	这是一个委员会。
ogden-letter	60f96ad872c561d6	这是一封信。
ogden-meeting	3986ad807f4e4f99	这是一场会议。
ogden-strong	b022646a7d8f2703	它很强壮。
ogden-heart	6f211d923fbb1952	这是一颗心脏。
ogden-light	0bbfdda271f09572	这是一束光。
ogden-voice	cf7b79f2f1d1cab0	这是一种声音。
ogden-pull	7d245494a3adebdd	我能拉动它。
ogden-land	ffd5e0fe8a28f6c7	我了解陆地。
ogden-event	7a10bac4e08c75a0	这是一个事件。
ogden-free	12bc879b3282ae6a	我有空。
ogden-military	05a5ec01b458b39f	这是军事方面的。
ogden-cause	ee371c9df054322b	这是一个原因。
ogden-son	b0a8047c606e2e4a	这是一个儿子。
ogden-support	beb4cfaaea745da5	我了解支持。
ogden-stage	2a134690826ae4d4	这是一个阶段。
ogden-range	a3982543553b7725	这是一个范围。
ogden-trade	3a375e5931d71464	这是一项贸易。
ogden-arm	fd536d9fb547dd9e	这是一只手臂。
ogden-true	d2d31bf3f23bd9aa	这是真的。
ogden-account	db738a0b17c8e389	这是一份账目。
ogden-material	7cb50f4ff80b5879	这是一种材料。
ogden-short	4f0d90bac919344c	它很短。
ogden-join	598309b5c26d6fb2	我可以加入他。
ogden-record	fb02f0c6ef6064cd	这是一条记录。
ogden-manager	ad6e82322190630f	这是一位经理。
ogden-tax	01bd4840b599ba3d	这是一项税收。
ogden-example	ea059c21cc3dd1e6	这是一个例子。
ogden-yesterday	a6e7d95ab09365b9	我昨天来过这里。
ogden-base	febcee4cc805cecd	这是一个底座。
ogden-window	2fb2e847836267c2	这是一扇窗户。
ogden-space	153d4785ce10fafe	我了解空间。
ogden-increase	146f1e0a435341a4	这是一次增长。
ogden-cover	d7a436618b42c373	这是一个盖子。
ogden-quality	db317a5bc5888a31	这是一种品质。
ogden-star	6d3b3187b01db6c6	这是一颗星星。
ogden-rule	d45ca6c632e5269c	这是一条规则。
ogden-oil	ce186a5b6b26ffcc	我了解石油。
ogden-common	7b61dbfd2a0a690d	这很常见。
ogden-necessary	6a9f94e0dce6b423	这是必要的。
ogden-structure	8d71e7f2f8ff6805	这是一个结构。
ogden-unit	cef609961a95384c	这是一个单位。
ogden-hospital	283d72ae310338e4	这是一所医院。
ogden-picture	72265aa644344f88	这是一幅图画。
ogden-bed	e6c60fed6cfa4377	这是一张床。
ogden-detail	f9801fe9532af2a1	这是一个细节。
ogden-wall	d32978a5f314bcba	这是一面墙。
ogden-news	8d272f76b5d283b1	我了解新闻。
ogden-test	03484c182ab3820a	这是一项测试。
ogden-north	0b463471017feef5	我向北走。
ogden-private	ec3094f0ed2bb587	这是私人的。
ogden-amount	c8986ce08bd14050	这是总量。
ogden-bit	0730b3ed7eb495b3	这是一小部分。
ogden-step	912df587c4d84ec8	这是一个步骤。
ogden-baby	7cba054c7e5c07e2	这是一个婴儿。
ogden-attention	141d1e2e24856272	我会注意这件事。
ogden-organization	06322d801f4f4a31	这是一个组织。
ogden-theory	8faefa622c6a6661	这是一种理论。
ogden-tree	4659797703eb32ae	这是一棵树。
ogden-property	cccaa630979c2bc1	这是一处房产。
ogden-poor	8949ecc094478ef4	我很贫穷。
ogden-wide	ac752c8a22f4184b	它很宽。
ogden-south	e4ef567ccf9b6597	我向南走。
ogden-hair	493ce72ae12d6004	我了解头发。
ogden-board	9dfc658a6d7ca5c6	这是一块木板。
ogden-chance	b98bb65d9f1f810a	这是一个机会。
ogden-secretary	8427281882911278	这是一位秘书。
ogden-brother	40ed5952487b34d4	这是一位兄弟。
ogden-operation	724d105db870491b	这是一次操作。
ogden-summer	6544a4b6b432333b	我在夏天去。
ogden-agreement	d56ca40dd781d268	这是一项协议。
ogden-plant	97304eb8d1186e15	这是一株植物。
ogden-simple	05db5cf4645b0c24	这很简单。
ogden-daughter	8be2031e09663dea	她是一个女儿。
ogden-floor	68e7c684bdc975e4	这是地板。
ogden-future	d20045f110d5660f	这就是未来。
ogden-medical	7dc86324a4e1a9d3	这是医疗方面的。
ogden-loss	9638e6a4cbc72487	这是一次损失。
ogden-animal	2be23d18ff019568	这是一只动物。
ogden-current	fae05e00ae11bd39	这是当前的。
ogden-fire	e6254511407d7a92	这是一团火。
ogden-purpose	492ea6a84adc892c	这是一个目的。
ogden-wrong	3020a012342ac859	这是错的。
ogden-page	31beaaccbad910e3	这是一页。
ogden-west	b9a3783515354c79	我向西走。
ogden-rest	70befb424a3a8564	这是一次休息。
ogden-fight	ffb84fa9c6b209d4	这是一场打斗。
ogden-present	8253b662ac82494b	这是一份礼物。
ogden-top	7c9a0640fba47b2b	这是顶部。
ogden-design	94c3e73a8c228b7c	这是一个设计。
ogden-past	aa941bc2f47ad472	这就是过去。
ogden-knowledge	3a2ed5664518bce0	我了解知识。
ogden-drop	aa97a1ef9e2a0dad	这是一滴液体。
ogden-blood	1838fbf9a43cf1eb	这是血液。
ogden-push	5d8804265f2fb9aa	这是一次推动。
ogden-size	a1b4596500cb3ee9	这是一个尺寸。
ogden-garden	bcc1c9e9824cff89	这是一个花园。
ogden-store	1a3cb3e3b2f0e641	这是一家商店。
ogden-sound	f691a52d0df90f8f	这是一种声音。
ogden-note	b1ba7bae6871bcda	这是一张便条。
ogden-natural	3efd55905583a37d	这是自然的。
ogden-thought	fc10cdb6474044a5	这是一个想法。
ogden-list	f42b7c748aab56a6	这是一份清单。
ogden-statement	8bfc2052bd2f9e5d	这是一项陈述。
ogden-relation	29a9d5ceb0095daa	这是一种关系。
ogden-sea	5a3c6c7c2f89f0f7	这是一片海洋。
ogden-dead	30d769dd8ad72982	他死了。
ogden-round	960bf94f24ca960e	这是一个圆形。
ogden-east	a96a57ec1199a2fb	我向东走。
ogden-forward	00a6f99304576d71	我可以向前走。
ogden-station	1d243954f5eabfb2	这是一座车站。
ogden-attempt	9597a445cdf9f3b3	这是一次尝试。
ogden-happy	a24b468128fae44e	他很快乐。
ogden-cup	0cc1d9f852524faa	这是一个杯子。
ogden-dog	a633e3bcd1589b60	这是一只狗。
ogden-serious	c2fe8700e99e915a	我很认真。
ogden-please	f686a4b304b5841d	请到这里来。
ogden-ready	c307a55f176d0dad	我准备好了。
ogden-sign	ccec0665193f1d51	这是一个标志。
ogden-machine	3e116ae6ce177a25	这是一台机器。
ogden-degree	edf2219914ae7e96	这是一定程度。
