# schema=1
authoring_method	direct-llm-reviewed
a1-age	8d7cfa9f7626de49	这是一个时代。
a1-april	28670e2b912881de	现在是四月。
a1-cannot	3c223deec45f09fb	我不能去。
a1-cent	2e59b2704bc229fc	这是一美分。
a1-centre	a8df60e3bb5bba3b	这里是中心。
a1-december	c72fa4963743c4af	现在是十二月。
a1-dollar	c7a1957b9d0eb914	这是一美元。
a1-email	c3619c0515a5d450	这是一封电子邮件。
a1-february	b0727e1b147f46b8	现在是二月。
a1-friday	874c09e5f3884083	今天是星期五。
a1-its	ec2ff6fcfe471244	它的盒子在这里。
a1-january	2fb8e3c14e28ef94	现在是一月。
a1-july	90aaea3878303234	现在是七月。
a1-june	a2419c38823988ca	现在是六月。
a1-kilometre	8453fcdb6a09c24e	这是一公里。
a1-later	1cdb843ae4d14aea	我晚些时候再去。
a1-metre	f4186543201c180b	这是一米。
a1-mile	c52226bbbe5f83dd	这是一英里。
a1-monday	687cffd89e82b3d2	今天是星期一。
a1-neighbour	fb9ccc43c0c7d408	他是一位邻居。
a1-november	3c4c143cb3967f40	现在是十一月。
a1-october	932c08333f46e0ee	现在是十月。
a1-phone	9ed4ad3df6657d4a	这是一部电话。
a1-programme	eb23366b672c4538	这是一个节目。
a1-saturday	343634b9d3cc61eb	今天是星期六。
a1-september	e43836a4446c181f	现在是九月。
a1-speak	23d25d7ee2df031e	我会说话。
a1-style	17e6194ee853b9c5	这是一种风格。
a1-sunday	d18e9f9506a5a55e	今天是星期日。
a1-t-shirt	a5731845cc701aa5	这是一件T恤。
a1-them	d2cd50feadb4fad7	我看见他们了。
a1-thursday	d5d949ca573cdb8c	今天是星期四。
a1-tuesday	fc58913813195a33	今天是星期二。
a1-wednesday	cbffe8af90dc05ce	今天是星期三。
a1-his	9bccb56616dc0e5c	他的书在这里。
a1-which	8a657da62e66b896	哪本书在这里？
a1-what	d6b7465614c2beff	它是什么？
a1-would	f51ffde7fbb08f21	我会走。
a1-their	e6b5bc1f727f08f0	他们的书在这里。
a1-my	268779ea442b5ca4	我的书在这里。
a1-could	1b4e12cf285cce15	我可以走。
a1-think	48d07b114a9ceca1	我可以想一想这件事。
a1-into	4561d0befae1ff60	我走进房间。
a1-just	5ba10e9a6846fbc0	这是公正的。
a1-your	a0901b3626372321	你的书在这里。
a1-also	cde8250c0c1378eb	我也去。
