# schema=1
authoring_method	direct-llm-correction
a1-agree	9e48af28bd529da3	我同意你的看法。
a1-die	df49f050ae88622e	人都会死。
a1-century	61ac92048811e072	一个世纪很漫长。
a1-build	936b41f1f55926cf	我能把它建起来。
a1-section	600afc73b8be09ee	请阅读这一节。
a1-stay	551659524ee5c094	这次停留时间很短。
a1-activity	8b854614c9498d14	我喜欢这项活动。
a1-plan	39e7a3bea5d0dd25	这个计划很好。
a1-return	349c41135418a6ae	我在等他回来。
a1-draw	cff881ae6077eac5	我会画一幅画。
a1-product	88b3df9240f59973	这个产品很好。
a1-practice	d0f6d8668c9ff938	练习很重要。
a1-wife	e4d33725f8c743ea	她是他的妻子。
a1-half	ce9c15138d8ce66c	这是其中的一半。
a1-explain	ccefdfdb5b06c357	我可以解释这件事。
a1-drive	a23b7087267767c7	我会开车。
a1-break	6d22aa293d10b0d6	我需要休息一下。
a1-difference	d398344d5ccde651	我能看出区别。
a1-thank	3047566534b9e4a9	我想感谢他。
a1-situation	1cff9df3adf6c2b4	这是个棘手的情况。
a1-model	93e0f3b066081879	这个模型很好。
a1-project	76c4ddfbc95c28f8	这个项目很重要。
a1-player	07b09b7c911086bb	他是一名优秀的选手。
a1-similar	e2d19ef40928251e	它们很相似。
a1-worker	312691f94a85b9ad	他是一名工人。
a1-pound	62a8a3fb2ba953da	我有一英镑。
a1-piece	3c139215e9a7dd0d	这是一片面包。
a1-doctor	d1f9d0a5c5f51e7b	她是一名医生。
a1-date	3b8505c4f78f40d7	今天是几号？
a1-film	7174134a720dc729	这是一部好电影。
a1-listen	5a17120ee4228c4b	我听音乐。
a1-culture	bbdb52d4b25c2861	文化很重要。
a1-share	9b3a384ed6252286	这是我的一份。
a1-thousand	6a56fdef5636eff1	一千是个很大的数。
a1-husband	86f15308fb6ca678	他是她的丈夫。
a1-anyone	3dc76da035760c2f	你看到什么人了吗？
a1-discuss	93aefa363bba8b8d	我可以讨论这件事。
a1-sport	4f94d5aaa1838487	我喜欢这项运动。
a1-quickly	56c59da05c5d8904	我做得很快。
a1-enjoy	bafbbcae83a437c4	我很享受这场比赛。
a1-fill	aa9c54c5a1800179	我能把盒子装满。
a1-march	c55c09adf9a50f7f	现在是三月。
a1-introduce	700477fc1f2fd5e5	我可以介绍他。
a1-success	9771a181c204bd12	这个计划成功了。
a1-arrive	2f19d21a6619d49a	我今天能到。
a1-hot	2c205677492bc8b7	天气很热。
a1-capital	7aabafbe3e47fa2f	这座城市是首都。
a1-article	635463b3d41b0a28	我读了这篇文章。
a1-artist	5f25f0ad2bf61371	她是一名艺术家。
a1-career	57b7cf94a8e477f2	他的事业发展得很好。
a1-modern	0b347bb0d40b2663	这很现代。
a1-compare	17ea3933e89a1941	我能比较这两本书。
a1-final	6e2d54b99142219d	这是最后一部分。
a1-skill	2d5b224b7b165e28	这项技能很重要。
a1-message	179458bc4241ab90	我有一条消息。
a1-forget	175a8d1156ae767a	我有时会忘记它。
a1-miss	588548b12f0dc6eb	我想你了。
a1-finish	8d96405dcb3d8ef4	我能把它做完。
a1-check	f7afe1e0386434d7	我可以检查一下。
