# schema=1
authoring_method	direct-llm-correction
b2-partly	d91867667ccc8fd4	这个答案只对了一部分。
b2-elsewhere	06c8ee7c79b7bfa2	答案也许能在别处找到。
b2-household	c9223472ec6a8c11	每户家庭都收到了一封信。
b2-breast	7de0f59ecd0a6f48	医生检查了她的乳房。
b2-silence	e6d6847f52a1d499	四周一片寂静。
b2-acknowledge	b2007a8e66bcb83b	他选择承认自己的错误。
b2-secure	7eb69703bcd39c7f	我们需要一个更安全的系统。
b2-publication	7e3607ad54d77549	这篇文章刊登在一份科学出版物上。
b2-shadow	dc886a907bbc2261	这棵树投下长长的影子。
b2-struggle	7964f5ab70e24718	这个项目推进得十分艰难。
b2-sum	93c2f9e81d4d9cb1	他们支付了一大笔钱。
b2-imply	00eb097423855830	她的问题可能暗示出了问题。
b2-being	ba2457027b6e6807	每个人都需要食物和水。
b2-illustrate	6979e91183622bbe	这个例子可以说明我的观点。
b2-phase	c1afaeb0e2fc78f7	这个项目已经进入最后阶段。
b2-display	e5e8084ed5349842	数字显示屏显示着时间。
b2-initiative	5e23f53c10f7fb8f	政府宣布了一项新倡议。
b2-basically	5c9c4f773f254037	这两个想法基本相同。
b2-sequence	72c391b1de440b65	请按正确顺序排列这些事件。
b2-generate	c00a3756ae5d3d13	这个系统能够产生足够的电力。
b2-widely	fc37a973577af613	这种方法被广泛使用。
b2-crew	d3b41e9c3bfa3d1a	全体工作人员已经准备好了。
b2-notion	ae81880249abcbe4	这种普遍观念并不总是正确。
b2-capture	4c5d4ebca45d8c36	这张抓拍画面很清晰。
b2-closely	8f735a989accd7c4	我们必须密切合作。
b2-emphasis	7c0c8bef5fe04491	这门课程强调实践。
b2-truly	3d478f15c49591ee	她确实很抱歉。
b2-prospect	895495c4da8144f7	成功的前景很好。
b2-inform	29ba740baaf4ffdf	政府必须向公众通报情况。
b2-unique	a616a46c4525ab50	这是一个难得的机会。
b2-priority	2f9a389f7b5f27d6	安全是我们的首要任务。
b2-opening	b4d6a163a163ac6f	团队里有一个空缺职位。
b2-combination	9dc0c394af78cc3a	这种组合效果很好。
b2-rely	3fdb28db43f3342b	我们可以依靠报告。
b2-upper	9044fd17cad35e73	我们的办公室在楼上。
b2-outcome	1f1cc24b2d4ce842	我们希望取得积极结果。
b2-defend	7a129bc098996d3a	我们可以为决定辩护。
b2-approve	e73409f438b9385e	董事会将在明天批准这项计划。
b2-zone	7f4a9a9cee6f4a6e	不要进入安全区。
b2-apparent	04a1a13284b1e9d8	差异很明显。
b2-ultimately	201b47827231cd7c	最终，决定权在你。
b2-passage	238d547747dea474	这条通道很窄。
b2-incident	0e94ddcb1dac1b49	这起事件很严重。
b2-pursue	4ddbec8b1907c643	她想从事科学事业。
b2-surgery	172d8ec20dd81306	手术安排在今天。
b2-elect	8bf5ba44fd67f017	成员们将选出一位新领导人。
b2-blame	c9358c427985ffe3	他承担了这个错误的责任。
b2-estimate	3981a81bb2d211bd	这只是一个粗略估计。
b2-vital	b6dbb2caf3696f4b	这是至关重要的信息。
b2-recover	ee9ec7dbda7402ca	她正开始从疾病中康复。
b2-specialist	1d16e2fedde24e1d	你应该去看专科医生。
b2-characteristic	aa36579243d90e5e	这个特点很有用。
b2-tone	51380b34bff1bef4	她用友好的语气说话。
b2-landscape	91d4d831c8140e0d	这幅画展现了山地风景。
b2-elderly	11eb178f2f4e0b2d	一位老人寻求帮助。
b2-creation	8584de1598d0df98	这座雕塑是她最新的作品。
b2-capable	43dfec0db1e2c568	她有能力带领这个团队。
b2-grand	a1fe337eaddc704f	他们走进了一座宏伟建筑。
b2-revolution	4ae73e02716851c5	革命从这座城市开始。
b2-tear	9905197ae2d20ead	她的眼里出现了一滴泪。
b2-brief	cc72858961d26c3d	经理给了我们一份简短说明。
b2-external	4b38f7d6924f9aaf	公司面临外部压力。
b2-tank	7ca00e9cefec34d2	水箱已经装满了。
b2-advance	7f30fbccca94ecbc	这种新疗法是一项重大进展。
b2-bond	04cf017476df62cf	这段经历在他们之间建立了牢固的纽带。
b2-expectation	a24d5b5d73a29fa7	这个期望过高了。
b2-accuse	8b7e6ac7dd5c515c	没有证据就不要指控他。
b2-motor	a658e08383731338	这台机器有一台发动机。
b2-somewhat	d661c4b255e510e5	第二个计划稍好一些。
b2-origin	7c31b0474ac6970b	我们不知道这个词的起源。
b2-accompany	a9a630dd07093bad	我会陪朋友去医院。
b2-minor	2197e93e3ee72fcf	未成年人不能独自签署这份合同。
b2-constant	b8d17772ead36ad7	这个数是一个常量。
b2-expense	8b117c29e4334645	旅行是一笔主要开支。
b2-severe	da31ee273f9e1593	这个问题很严重。
b2-cite	d62958afb3667de6	你必须在报告中注明资料来源。
b2-vast	cf765ce9c35d2747	这片森林覆盖了广阔区域。
b2-oppose	ffd284cd39ad9dc0	许多居民反对这项提议。
b2-contemporary	1794f203eb11179e	这家博物馆展出当代艺术。
b2-multiple	5cbc793ff3b03cf5	这个系统存在多个问题。
b2-afterwards	397b40f107980246	我们可以之后再谈。
b2-core	3b0ff95d52f37283	信任是这个问题的核心。
b2-rush	627c7eb07913ea2b	我在早高峰之前离开了。
b2-justify	8c372a0bffacbe34	这些结果证明这笔费用是合理的。
b2-rapidly	36b22d5851078715	这座城市正在迅速发展。
b2-witness	b1fafd7054c3017a	一名关键证人向警方作了说明。
b2-emphasize	90c131510a154e86	这份报告将强调安全的重要性。
b2-permanent	c18cf2bafca74bd9	我们需要一个永久的解决办法。
b2-massive	9e8680714b67e547	这个项目需要巨额投资。
b2-decline	66b222788640e59d	报告显示有所下降。
b2-cable	3d704565fdc92b23	用这根电缆连接屏幕。
b2-via	66f5d8754812c280	请通过电子邮件发送报告。
b2-expose	d9d7c18e47e4804b	调查可能会揭露真相。
b2-crucial	6f6848b53a4ac9af	良好沟通起着至关重要的作用。
b2-inner	215764eeacdecdb5	这是内部部分。
b2-permit	732341f7f53bd8c3	你需要工作许可证。
b2-fundamental	5d3d5c5bfb637593	信任是一项根本原则。
b2-cast	f98def3ebc6a5d1f	这部电影拥有强大的演员阵容。
b2-dominate	cac18d897bf67d8d	一家公司继续主导这个市场。
b2-lower	7fc6bd79c5951ada	第二家商店的价格更低。
