# schema=1
authoring_method	direct-llm-correction
b1-freeze	7193dd45c429ddd7	你可以把食物冷冻起来以后再吃。
b1-sensible	2ff9e80c1827c995	坐火车是个明智的选择。
b1-bake	6bfa66d01ca02e43	我们今天下午要烤一个蛋糕。
b1-ban	a38319ffd1b5b68c	这座城市实施了禁烟令。
b1-announcement	b5c36a719873b886	学校有一项重要通知。
b1-unemployed	8b1630b8bf8d22cc	他已经失业六个月了。
b1-episode	f28890ce0f95da81	这是最后一集。
b1-highlight	ea402b746a405984	音乐会是我们这次旅行中最精彩的部分。
b1-pleasant	79fff5cad4a0047c	这次来访是一个令人愉快的惊喜。
b1-pretend	c1bd833df8716ca6	我可以假装睡觉。
b1-grateful	2f5712c24a71f0b5	我很感谢你的帮助。
b1-aged	c5039f0ecaea82ca	这个项目面向十至十二岁的儿童。
b1-excitement	9450b96ad6daedee	孩子们非常兴奋。
b1-departure	2af0155b38f57821	请查看出发时间。
b1-continuous	b7ce084876505ef2	雨连续下了三天。
b1-horror	cf3ef9373bb8c4f0	令我惊恐的是，门竟然开着。
b1-coin	98313eab9bce8671	他发现了一枚旧硬币。
b1-plot	5d4a0af644189117	这部电影的情节很容易理解。
b1-celebration	27d8a4f6b9659c8d	我们举行了一个小型生日庆祝会。
b1-alarm	034d0c152fa556d1	我把闹钟定在六点。
b1-consume	2116f353be4ebe19	这台机器可能消耗过多能源。
b1-explosion	e55824d3ab648bd1	我们听到一声巨响。
b1-injure	f5b083c35ff33bff	如果独自搬它，你可能会伤到背。
b1-educate	f82ab960591633e3	学校为孩子们的未来提供教育。
b1-painful	0b2c5ebf2cd51fe7	他受了很痛的伤。
b1-friendship	e4cb104ab10a6158	他们建立了深厚的友谊。
b1-reservation	61c204df666e07bc	我预订了两个人的位置。
b1-mall	41d64b3e200769a7	我们在购物中心见面了。
b1-hurry	e97d8789ae1b556c	我匆忙离开了家。
b1-tent	8f0a70d9ee03234c	我们在河边搭起了帐篷。
b1-narrative	894dea5268cbf905	这本书的叙事很清晰。
b1-photographer	3955e59320dc87ca	一位专业摄影师拍了这张照片。
b1-helicopter	498decc7db1c1bd2	一架直升机很快赶到。
b1-explode	f60a3452d2674152	炸弹随时可能爆炸。
b1-garage	1a8ddd0f56493a4f	汽车停在车库里。
b1-assignment	4328329bdc086a89	我昨晚完成了作业。
b1-romantic	9335139e43bd55ae	他们吃了一顿浪漫的晚餐。
b1-discount	277e4c5288c2a6b5	学生可以享受折扣。
b1-generous	a307c696640e5a64	那是一个非常慷慨的提议。
b1-ambition	3587ebdfd7f2a665	她的志向是成为医生。
b1-battery	934f9dd04cdf9ec1	这部手机需要换电池。
b1-fighting	cb2f1d271e06dfa3	警方赶来制止打斗。
b1-competitor	50296816dc0530ae	我们的主要竞争对手价格很低。
b1-ugly	b4c3033f1f09dff4	那栋建筑很难看。
b1-ghost	a3509d8eb015e5cd	这个故事里有一个鬼魂。
b1-reliable	3e877521c6a08f04	这是一个可靠的信息来源。
b1-admire	ac95e9ca15d98278	我欣赏她的作品。
b1-killing	80211c916a7384a2	警方调查了这起凶杀案。
b1-script	b1d2588e44adf67a	她为这部电影写了剧本。
b1-headline	e7162d11a91fe7a0	我只看了标题，没有读文章。
b1-rope	9cfeffec1b76b9ec	我们用一根长绳把船拉了过来。
b1-shine	e0588c0b2b15c8ea	这双鞋很有光泽。
b1-clue	0c30bf858fd89c46	警方发现了一条重要线索。
b1-slice	be3512cc5bd8733e	我吃了一片面包。
b1-fitness	8a11c30d82caf6ed	经常锻炼能改善体能。
b1-container	fc12179fc19863f8	把食物放进塑料容器里。
b1-experienced	9134f163b7b09b22	她是一位经验丰富的老师。
b1-disappointed	21e7fbecd90decb3	我对结果感到失望。
b1-mess	a583ed84c6c4331c	房间里一团糟。
b1-upset	5e2e292e4e8beb0a	她听到这个消息很难过。
b1-frightened	e500d3bbd8f3340d	那个孩子被响声吓到了。
b1-expected	8340cc6101578d25	预期的结果并没有出现。
b1-magic	8e073848102bf161	这场演出包含魔术表演。
b1-hunt	8c626fe41f02a7a6	他们去打猎了。
b1-sculpture	22ef0539ba0468ad	外面立着一座大型石雕。
b1-flour	fe14ac2853b9288b	我们需要一袋面粉。
b1-convenient	7a63f1d02b3ad7aa	现在方便打电话吗？
b1-heating	994917933403c500	请打开暖气。
b1-confuse	19751a513187726a	不要把这两个词混淆。
b1-disadvantage	6925b53fc7e93f30	成本高是一个主要缺点。
b1-mud	7996c2711c3d98b9	路上有泥。
b1-flood	91404a9c08e5a897	这座城镇遭遇了严重洪灾。
b1-prediction	90f0246aecaf8b50	这个预测可能是对的。
b1-outdoor	ffb5b9b672be6627	这是一项户外活动。
b1-confused	932a326768681b8f	这些说明让我感到困惑。
b1-coloured	715968a7f1bcf7ab	孩子们用了彩纸。
b1-unfair	881cc469253c14cd	那是一个不公平的决定。
b1-unnecessary	1ff1b7d0f26c7d0b	这个额外步骤没有必要。
b1-uncomfortable	b4e98658f1c3dd01	这把椅子坐着不舒服。
b1-peaceful	6bf07658e4cb1787	这个村庄很宁静。
b1-retired	a0bbd9db0f833a48	他是一名退休教师。
b1-drunk	fda1e3b4ff33b61e	他醉得无法开车。
b1-apologize	6638ea666fdcdeb8	我为迟到道歉。
b1-horrible	f119b84a7af87881	那是一次可怕的经历。
b1-mild	8ffad7d39bba3b8b	今天天气温和。
b1-frozen	8ca127cffe376da8	我们买了一些冷冻食品。
b1-click	8d3281d8d7952ccd	我听到门口传来咔哒一声。
b1-brave	aedf3f377a160a74	那是一个勇敢的决定。
b1-backwards	780c42f2b96b3d00	向后走时要小心。
b1-lonely	b974d65be4793f6b	他在这座新城市里感到孤独。
b1-diagram	691e248740cf437a	这本书里有一张简单的示意图。
b1-fancy	7ace6a7ef8279288	你想喝点什么吗？
b1-punish	8992fc2b5bf21508	法律可以惩罚违法者。
b1-happiness	5a55d18755c0eece	友谊能带来快乐。
b1-statue	a3f32312e17a8e23	广场上立着一座石像。
b1-destination	cbfddb68a3d0dc06	天黑前我们到达了目的地。
b1-update	ca157c1087495f79	请更新你的联系信息。
b1-fascinating	d383af7be3633fbf	她给我们讲了一个非常有趣的故事。
b1-diamond	2975612dcc50fa17	她戴着一枚钻石戒指。
b1-neighbourhood	8331cd56c9381d4e	他们住在一个安静的社区。
