# schema=1
authoring_method	direct-llm-correction
b1-challenge	54ab7d3f4be46997	这个团队面临一项艰巨挑战。
b1-stuff	c63985da9e9d2183	我把东西落在家里了。
b1-access	98d1e69afdf0acf4	学生可以使用图书馆。
b1-sexual	9861d679d7d930ed	这门课程包含有关性健康的信息。
b1-effective	62e75d0958d890de	这是一种有效的方法。
b1-western	727489b31814cafc	她研究西方历史。
b1-marriage	77f348c221ea67dc	他们的婚姻很幸福。
b1-reference	d315754c9139cf42	请保留这份报告以供参考。
b1-agent	329df23444670f90	旅行代理人帮我们找到了一家酒店。
b1-ahead	6f5dc3f7bb70b89e	前方的道路很畅通。
b1-importance	a84f04c3be111c91	我们明白健康的重要性。
b1-generation	d79ea2b339f899e4	新一代正在成长。
b1-commercial	8da0956aa358c369	这部电影在商业上很成功。
b1-involved	45b011496a0d968b	她参与了这个项目。
b1-reality	a65ac47cc79973ff	我们必须面对现实。
b1-yard	9464e55365307839	孩子们在院子里。
b1-collection	8aa25b724fa9dc18	她收藏了很多书。
b1-communication	88cb0ff72b9037c9	良好的沟通能够避免问题。
b1-supply	19e88866539f67de	供水量不足。
b1-examine	1659c1a6c63dd9fa	我们可以检查这个问题。
b1-consumer	c85df314fa244e7b	法律保护消费者权益。
b1-define	a8260118d92a6c06	你能给这个词下定义吗？
b1-influence	6e3db96b27e26955	父母对孩子有很大影响。
b1-victim	26b5d19d06a2450b	受害者得到了医疗救助。
b1-software	5f9c202421dea3f4	这个软件很容易使用。
b1-vote	ffe1b104921a53c8	每一票都很重要。
b1-eventually	23babd240c91eff3	经过几次尝试，我们最终成功了。
b1-occasion	05d746f3105bc2e4	我们为这个场合穿了正式服装。
b1-highly	a700023f76c85e6f	这个项目非常成功。
b1-lack	352c9bfe5c328528	这个项目因缺少资金而失败。
b1-southern	92dbc4717944ed26	他们住在这个国家的南部。
b1-global	015551bc0e4f866d	气候变化是一个全球性问题。
b1-slightly	d2dc2e1114e0a0a6	这两幅图略有不同。
b1-release	8dbecbf24b187bbf	这个新版本现在已经发布。
b1-safety	2ac8bbe9cb421d49	安全对每个人都很重要。
b1-hardly	5b16d5a473c1bf5b	我几乎听不见你说话。
b1-directly	220ceb8c3dce7b60	请直接和经理谈。
b1-absolutely	c90d4d15dab60f98	你完全正确。
b1-essential	773287ba71dcf1bc	清洁的水对生命至关重要。
b1-confirm	802ce558ea60e115	请通过电子邮件确认日期。
b1-powerful	e9526af259f62487	这辆车装有一台动力强劲的发动机。
b1-file	bc59b901b4d6f37a	我把报告保存在一个文件里。
b1-primary	5d11116291e6b089	费用是我们作出决定的主要原因。
b1-obvious	b579cae2fa9308c5	报告中有一个明显的错误。
b1-length	a35b96f5facfe11d	我们可以测量房间的长度。
b1-nuclear	5abb688ecdc975be	这个国家生产核能。
b1-spirit	6383f3502502396b	这支队伍展现了强大的团队精神。
b1-studio	c0a8c4d4d788029d	这部电影是在一个小型工作室里拍摄的。
b1-strength	37f86760b64e717b	这项工作需要体力。
b1-contact	a10d6336aeb896a7	我们仍然保持联系。
b1-battle	67a9da9d67544a54	这场战斗持续了很久。
b1-spot	1591fb7a23c885a4	我们在河边找到了一处安静的地方。
b1-consequence	3ffa759af33bbed3	这个决定可能会带来严重后果。
b1-practical	3d8c6a0fcea712fd	她给了我实用的建议。
b1-aim	c5f9724631e390e8	主要目标是降低成本。
b1-due	288bf678b6f7bf83	报告明天到期。
b1-content	a0a5ddac4587a8eb	课程内容很容易理解。
b1-conclusion	dfe64531c8f41fe9	我们得出了相同的结论。
b1-guard	c9050c2fcfdb7c84	一名保安检查了我的包。
b1-deliver	02a5c8851ccd1460	我们明天可以把它送到。
b1-ignore	748357bd3b1f59f6	不要忽视这个问题。
b1-sight	256b61bedd5c6dce	群山构成了一幅美丽的景象。
b1-sample	e72cf062e4e17c90	商店给了我一份免费样品。
b1-possibly	9ad4276548c416e8	可能会发生什么呢？
b1-tiny	91efc0f83617e152	他们住在一个很小的房间里。
b1-block	29c9e4531493a485	这个街区离车站很近。
b1-identity	00809c1d7d3dd3e0	你应该在网上保护自己的身份。
b1-survive	4afec24d55f56c19	她在事故中幸存了下来。
b1-promote	b22842fe92bf9cff	公司将宣传这款新产品。
b1-package	aa7acbac6a238517	今天收到了一个小包裹。
b1-folk	8a6fe85e6a1e2883	当地人很友好。
b1-concentrate	7bb9e46f21f5ed0b	我无法集中注意力工作。
b1-mainly	f819828296753c3e	我选择它主要是因为价格。
b1-border	187f8e8561bea488	边境离这座城市很近。
b1-gather	f4d6e33c41eb6b94	我们需要收集更多信息。
b1-plus	ce53816e39f462b7	三加二等于五。
b1-currently	ed3f2bce3da274e5	她目前在家工作。
b1-spread	8f9dfd2ded762165	清洁的水可以减缓疾病传播。
b1-entry	0d585b739c328b39	请填写报名表。
b1-murder	ebb86348ccd17d6f	这起谋杀案是一个严重问题。
b1-editor	e8e65abc5b6dbe3c	她是一名报纸编辑。
b1-commit	46651031d9a8b4c8	他没有犯下那起罪行。
b1-technical	118aac92014c02d3	如果需要技术支持，请给我们打电话。
b1-youth	b3b4919f23be53f0	他年轻时住在这里。
b1-native	40087d69c3ac5297	她是这座城市的本地人。
b1-row	f7dd2e003f2db800	路边有一排房子。
b1-fairly	335026e72952a4ae	这次考试相当简单。
b1-intelligence	f400079df3a53924	人的智力很难衡量。
b1-category	d6a4eb1c8cfba9a9	这些书属于同一类别。
b1-exhibition	28077ca5ee1b2b9e	展览今天开放。
b1-equally	a3765ca1e312aea2	两个问题同样重要。
b1-location	4c3eee23ace321c4	这里是开酒店的理想地点。
b1-improvement	5c300ca9bee9b78b	情况有了明显改善。
b1-northern	c38b984f0fb43c04	他们住在这个国家的北部。
b1-combine	6fa173046fcdca57	我们可以把这两个想法结合起来。
b1-contrast	b8a22a1bd5dfee18	这两幅图形成鲜明对比。
b1-gentleman	2ae533f324ba0e9b	一位先生帮助了我。
b1-proper	15e5ad4705e6f77a	做这项工作需要合适的设备。
b1-remind	16ea79ed806c7701	请明天提醒我。
b1-academic	844d29837b3306ae	她正在从事学术研究。
