# schema=1
authoring_method	direct-llm-reviewed
b2-partly	9584e7c39bd48fa1	它们部分相同。
b2-elsewhere	a4af7c6f73dd0c44	我去别的地方。
b2-household	959703b050959ac1	这是一个家庭。
b2-breast	a9d7be3f3969fa19	这是胸部。
b2-silence	6fbf49d6ed7fdbbb	这是一片寂静。
b2-acknowledge	431dc9e9b390ff34	我可以承认它。
b2-secure	8472d6b5b1402bdd	这是安全的。
b2-publication	a241e70f56938120	这是一份出版物。
b2-shadow	72ab0e9def920fca	这是一道阴影。
b2-struggle	390111824b37efef	这是一场斗争。
b2-sum	cd40fc7bdf023fdb	这是一个总数。
b2-imply	f0e343caedc6b747	我可以暗示它。
b2-being	f2c1acf88460ff9f	这是一个生物。
b2-illustrate	ab95a210e627c175	我可以举例说明。
b2-phase	609492919e1cd80f	这是一个阶段。
b2-display	ad691e3e3da6136c	这是一块显示屏。
b2-initiative	7b3106c658dad006	这是一项主动行动。
b2-basically	9e803f5a9a77c24f	它们基本相同。
b2-sequence	132ddd825b7aa3b5	这是一个序列。
b2-generate	4fdd6705a136f369	我可以生成它。
b2-widely	356ca67753526bb9	它被广泛使用。
b2-crew	bd60238bb0ba5473	全体船员都在这里。
b2-notion	3efc7fd081a10d09	这是一个概念。
b2-capture	5042094ecca1e6d8	这是一次捕获。
b2-closely	3aa5ef83c946b5f5	我近距离完成它。
b2-emphasis	c1dfa2d8a0cc0b92	这是一个强调点。
b2-truly	fec7d71303e27db9	它们确实相同。
b2-prospect	c666f2a69bb7098e	这是一种前景。
b2-inform	ab1a744d059aeef1	我可以通知他。
b2-unique	57796a54eeec1143	这是独一无二的。
b2-priority	508d1a3093cf3806	这是一个优先事项。
b2-opening	8bbae15bfc44dbf8	这是一个开端。
b2-combination	2d9d1178470ee077	这是一个组合。
b2-rely	bd508bcae30bfc72	我依靠你。
b2-upper	b92a38529a7fde39	这是上面的部分。
b2-outcome	08faf881b5a100f8	这是一个结果。
b2-defend	527031ec56b46bd8	我可以防卫。
b2-approve	5f4473d48a552167	我可以批准。
b2-zone	34ee313fca5438e4	这是一个区域。
b2-apparent	e9f0aa63838729fd	这是明显的。
b2-ultimately	c3666e9d60f96f98	最终，我走了。
b2-passage	f0872a7b268be7de	这是一个通道。
b2-incident	7a0726b19644450e	这是一起事件。
b2-pursue	8c0f468eb2a7c426	我可以追赶它。
b2-surgery	0766a45eae947bef	这是一次外科手术。
b2-elect	921ea5102cb945f4	我可以选出它。
b2-blame	1ec1315290359e9d	我了解责任归属。
b2-estimate	1dd483c732e158b6	这是一个估计。
b2-vital	637241b6f77194dc	这是至关重要的。
b2-recover	54bd4fb2c72a9b70	我可以恢复。
b2-specialist	38472c2dbd417cd9	这是一位专家。
b2-characteristic	8a3e538a3b2bca3d	这是一个特征。
b2-tone	7c27196b1837596e	这是一种音调。
b2-landscape	610bc2edeb49a01d	这是一片风景。
b2-elderly	16bbc36cbdbf5157	这是一位老年人。
b2-creation	325d29be9e5bb9e9	这是一个创作成果。
b2-capable	a5d2ec4984f09052	这是有能力的。
b2-grand	5e890b2488fe9970	它很庄重。
b2-revolution	e2c67548975283c3	这是一场革命。
b2-tear	8c2a0e17e7d73972	这是一滴眼泪。
b2-brief	a13801356cbfad1e	这是一份摘要。
b2-external	24601b1d2ea3c7aa	这是外部部分。
b2-tank	16ab98f450def42e	这是一个储罐。
b2-advance	5172a2daeb2bed56	这是一项进展。
b2-bond	bbd7639fdbe216c9	这是一种纽带。
b2-expectation	d384fb57c1721a36	这是一种期待。
b2-accuse	fd5fff4053445502	我可以指责他。
b2-motor	31874259156f9b21	这是一台马达。
b2-somewhat	b94dfebb744d4787	它有些不同。
b2-origin	db934e3648fd526e	这是它的起源。
